44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 04 30  2018 04 30
0.0
time in minutes since 2018-04-30 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    941.26     11.05      6.88     75.42     -1.22     -7.00      0.00      4.08      4.24    276.00      9.79    262.00      0.41     -4.06         0        20         0         0
        10    941.59     10.97      6.99     76.44     -1.19     -7.00      0.00      3.01      3.10    284.00      7.40    271.00      0.72     -2.92         0        20         0         0
        20    941.82     10.70      6.77     76.64     -1.14     -5.00      0.00      2.26      2.42    294.00      7.32    275.00      0.91     -2.06         0        20         0         0
        30    941.76     10.54      6.38     75.42     -1.18     -5.00      0.00      2.64      2.97    285.00      6.71    267.00      0.71     -2.55         0        20         0         0
        40    942.17     10.24      6.30     76.52     -1.16     -6.00      0.00      3.55      3.65    274.00      7.51    268.00      0.24     -3.54         0        20         0         0
        50    942.22     10.00      6.22     77.33     -1.16     -7.00      0.00      2.48      2.59    280.00      6.43    275.00      0.42     -2.44         0        20         0         0
        60    942.32      9.67      6.56     80.93     -1.25     -6.00      0.00      2.75      2.82    274.00      6.67    257.00      0.19     -2.75         0        20         0         0
        70    942.59      9.49      6.82     83.40     -1.24     -6.00      0.10      2.64      2.73    269.00      5.64    277.00     -0.06     -2.63         0        20         0         0
        80    942.84      9.46      6.83     83.65     -1.21     -5.00      0.10      2.32      2.40    256.00      5.61    248.00     -0.56     -2.25         0        30         0         0
        90    942.98      8.87      6.16     83.10     -1.22     -5.00      0.40      3.45      3.55    251.00      8.81    255.00     -1.15     -3.25         0        30         0         6
       100    943.26      8.40      6.32     86.77     -1.25     -4.00      0.60      3.83      3.92    257.00      9.00    271.00     -0.89     -3.73         0        30         0         6
       110    943.57      8.28      6.69     89.72     -1.29     -4.00      0.10      2.21      2.31    250.00      5.90    244.00     -0.75     -2.08         0        30         0         6
       120    943.69      8.16      6.64     90.10     -1.29     -4.00      0.20      2.02      2.11    247.00      4.70    269.00     -0.78     -1.86         0        30         0         6
       130    944.03      8.04      6.70     91.24     -1.28     -4.00      0.10      1.85      1.93    238.00      4.64    217.00     -0.97     -1.57         0        30         0         6
       140    943.90      7.91      6.65     91.76     -1.27     -4.00      0.20      2.36      2.44    243.00      4.74    252.00     -1.05     -2.11         0        40         0         6
       150    943.87      7.76      6.33     90.66     -1.29     -4.00      0.10      2.37      2.48    238.00      5.34    257.00     -1.25     -2.01         0        40         0         6
       160    944.01      7.53      5.91     89.45     -1.30     -4.00      0.00      3.12      3.22    245.00      6.53    259.00     -1.32     -2.83         0        30         0         6
       170    944.23      7.49      5.77     88.83     -1.25     -4.00      0.00      3.13      3.23    232.00      6.36    251.00     -1.92     -2.48         0        30         0         6
       180    944.27      7.42      5.88     89.93     -1.22     -4.00      0.10      2.73      2.83    223.00      5.29    248.00     -1.99     -1.88         0        30         0         6
       190    944.21      7.48      5.91     89.75     -1.30     -4.00      0.00      2.39      2.47    217.00      5.38    198.00     -1.92     -1.42         0        30         0         6
       200    944.22      7.53      5.83     88.99     -1.22     -4.00      0.00      2.37      2.46    206.00      4.21    198.00     -2.13     -1.05         0        30         0         6
       210    944.22      7.47      5.81     89.20     -0.93     -4.00      0.00      1.97      2.10    209.00      5.38    190.00     -1.72     -0.96         0        30         0         6
       220    944.28      7.47      5.49     87.27     -0.23     -4.00      0.00      2.08      2.25    219.00      5.56    188.00     -1.63     -1.30         0        30         0         6
       230    944.26      7.49      5.29     85.89      0.36     -4.00      0.00      2.94      3.08    208.00      5.60    180.00     -2.59     -1.39         0        30         0         6
       240    944.37      7.50      5.39     86.47      1.25     -4.00      0.00      3.25      3.33    216.00      5.79    201.00     -2.63     -1.91         0        30         0         6
       250    944.43      7.62      5.36     85.54      1.39     -4.00      0.20      3.01      3.08    212.00      6.53    207.00     -2.54     -1.61         0        30         0         6
       260    944.31      7.53      5.40     86.38      2.14     -3.00      0.20      3.18      3.30    208.00      7.03    240.00     -2.82     -1.47         0        30         0         6
       270    943.84      7.59      5.39     85.97      2.83      1.00      0.10      1.51      1.66    191.00      4.18    197.00     -1.49     -0.28         0        30         0         6
       280    944.24      7.66      5.24     84.62      3.16     12.00      0.00      1.04      1.20    216.00      3.61    256.00     -0.84     -0.61         0        30         0         6
       290    944.59      7.97      5.13     82.20      3.23     22.00      0.00      2.05      2.19    231.00      6.04    204.00     -1.28     -1.60         0        30         0         6
       300    944.56      7.96      4.95     81.25      3.50     31.00      0.00      2.05      2.16    237.00      4.74    215.00     -1.12     -1.73         0        30         0         6
       310    944.52      8.01      4.87     80.56      3.32     36.00      0.00      1.94      2.00    255.00      4.25    246.00     -0.49     -1.88         0        30         0         6
       320    944.60      7.35      5.26     86.53      3.14     37.00      0.00      1.85      1.95    250.00      4.12    264.00     -0.63     -1.74         0        30         0         6
       330    944.77      7.56      5.27     85.38      3.43     31.00      0.00      1.42      1.50    219.00      3.27    203.00     -1.11     -0.89         0        30         0         6
       340    944.90      7.78      5.53     85.63      3.66     44.00      0.00      1.78      1.82    212.00      3.45    210.00     -1.51     -0.94         0        30         0         6
       350    944.84      7.78      5.42     84.99      3.71     53.00      0.00      1.27      1.37    213.00      3.28    218.00     -1.07     -0.68         0        30         0         6
       360    944.86      8.18      5.36     82.38      3.79     82.00      0.00      1.36      1.47    225.00      2.80    215.00     -0.96     -0.97         0        30         0         6
       370    944.94      8.47      5.49     81.50      4.06    100.00      0.00      1.87      1.98    222.00      3.12    220.00     -1.39     -1.26         0        30         0         6
       380    944.89      8.89      5.65     80.07      3.98    141.00      0.00      1.79      1.89    229.00      3.28    218.00     -1.18     -1.35         0        30         0         6
       390    944.77      9.29      5.78     78.67      4.36    196.00      0.00      1.97      2.09    217.00      4.05    196.00     -1.58     -1.18         0        20         0         6
       400    944.67      9.66      5.80     76.87      4.41    385.00      0.00      2.12      2.22    212.00      3.81    194.00     -1.79     -1.13         0        30         0         0
