44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 03 16  2018 03 16
0.0
time in minutes since 2018-03-16 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    938.59      5.70      2.76     81.35     -1.65     -4.00      0.00      2.22      2.29    211.00      3.68    202.00     -1.90     -1.15         0        30         0         6
        10    938.54      5.81      2.55     79.52     -1.90     -5.00      0.00      2.87      2.97    205.00      4.61    204.00     -2.61     -1.20         0        20         0         6
        20    938.74      5.59      2.50     80.43     -2.43     -5.00      0.00      1.55      1.62    241.00      3.40    223.00     -0.75     -1.35         0        30         0         6
        30    938.85      5.37      2.31     80.59     -2.56     -6.00      0.00      0.99      1.03    239.00      2.19    246.00     -0.50     -0.86         0        20         0         6
        40    938.94      4.83      2.24     83.27     -2.56     -6.00      0.00      0.89      0.94    247.00      2.38    255.00     -0.35     -0.82         0        30         0         6
        50    938.92      4.84      2.17     82.81     -2.56     -6.00      0.00      1.17      1.25    207.00      2.10    205.00     -1.04     -0.54         0        30         0         6
        60    938.91      4.64      2.09     83.52     -2.56     -6.00      0.00      1.45      1.53    205.00      2.73    204.00     -1.32     -0.61         0        30         0         6
        70    938.95      4.73      2.03     82.61     -2.57     -6.00      0.00      1.23      1.30    195.00      2.70    178.00     -1.19     -0.32         0        30         0         6
        80    938.98      3.42      1.85     89.38     -2.56     -6.00      0.00      1.00      1.13    190.00      3.13    197.00     -0.98     -0.18         0        40         0         6
        90    939.03      4.26      2.08     85.68     -2.56     -5.00      0.00      0.09      0.12    152.00      0.71    172.00     -0.08      0.04         0        30         0         6
       100    938.97      4.29      2.08     85.49     -2.55     -6.00      0.00      1.35      1.41    214.00      2.48    220.00     -1.12     -0.76         0        30         0         6
       110    938.89      4.28      1.92     84.63     -2.53     -6.00      0.00      1.52      1.66    236.00      3.13    243.00     -0.85     -1.26         0        30         0         6
       120    938.88      4.47      1.95     83.64     -2.56     -6.00      0.00      1.70      1.79    230.00      2.92    218.00     -1.10     -1.30         0        20         0         6
       130    938.90      4.27      1.94     84.82     -2.48     -6.00      0.00      2.20      2.21    216.00      2.92    218.00     -1.77     -1.31         0        30         0         6
       140    938.89      4.69      2.10     83.28     -1.83     -6.00      0.00      2.23      2.24    214.00      2.84    219.00     -1.85     -1.25         0        20         0         6
       150    938.84      4.05      2.05     86.76     -2.36     -5.00      0.00      1.73      1.77    227.00      2.62    223.00     -1.17     -1.27         0        30         0         6
       160    938.79      3.80      1.79     86.72     -2.58     -6.00      0.00      1.45      1.51    235.00      2.37    242.00     -0.83     -1.19         0        30         0         6
       170    938.71      4.47      1.85     83.05     -2.57     -6.00      0.00      0.50      0.53    258.00      1.80    236.00     -0.10     -0.49         0        20         0         6
       180    938.68      3.74      1.58     85.76     -2.48     -6.00      0.00      0.02      0.05    270.00      0.50    270.00      0.00     -0.02         0        30         0         6
       190    938.72      2.37      1.12     91.42     -2.15     -5.00      0.00      0.14      0.15    179.00      0.92    167.00     -0.14      0.00         0        40         0         6
       200    938.67      2.94      1.41     89.63     -2.47     -4.00      0.00      0.22      0.23    176.00      1.10    175.00     -0.22      0.01         0        30         0         6
       210    938.73      3.58      1.94     89.00     -2.52     -5.00      0.00      0.15      0.16     75.00      0.58     59.00      0.04      0.14         0        30         0         6
       220    938.88      2.35      1.27     92.53     -2.48     -5.00      0.00      0.28      0.30     99.00      1.00     90.00     -0.04      0.27         0        40         0         6
