44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 04 20  2018 04 20
0.0
time in minutes since 2018-04-20 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    961.96     13.58      6.09     60.51     -2.53     -7.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00         0        10         0         0
        10    961.94     13.31      6.65     64.00     -2.54     -7.00      0.00      0.02      0.02      0.00      0.40      0.00      0.02      0.00         0        10         0         0
        20    961.86     13.51      6.54     62.66     -2.54     -7.00      0.00      0.06      0.06      0.00      0.50      0.00      0.06      0.00         0        10         0         0
        30    961.75     14.01      6.16     59.11     -2.53     -7.00      0.00      0.69      0.69     89.00      1.20     85.00      0.01      0.69         0        10         0         0
        40    961.71     13.84      6.19     59.90     -2.52     -7.00      0.00      0.99      1.00     87.00      1.22     81.00      0.06      0.99         0        10         0         0
        50    961.65     13.55      6.39     61.86     -2.54     -7.00      0.00      0.47      0.55     72.00      1.14     75.00      0.15      0.44         0        10         0         0
        60    961.62     13.65      6.21     60.72     -2.53     -7.00      0.00      0.03      0.04      0.00      0.30      0.00      0.03      0.00         0        10         0         0
        70    961.58     12.96      6.51     64.85     -2.54     -7.00      0.00      1.04      1.05     87.00      1.50     86.00      0.05      1.04         0        20         0         0
        80    961.51     13.24      6.50     63.62     -2.54     -7.00      0.00      0.76      0.77     84.00      1.20     85.00      0.07      0.75         0        10         0         0
        90    961.49     13.09      6.59     64.64     -2.54     -7.00      0.00      0.02      0.02      0.00      0.20      0.00      0.02      0.00         0        10         0         0
       100    961.50     12.22      6.93     70.05     -2.55     -7.00      0.00      0.01      0.01      0.00      0.20      0.00      0.01      0.00         0        20         0         0
