44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 04 12  2018 04 12
0.0
time in minutes since 2018-04-12 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    935.59     11.36      2.15     53.07     -2.42     -7.00      0.00      0.81      0.99     52.00      2.30      2.00      0.49      0.64         0        20         0         0
        10    935.38     11.75      1.51     49.40     -2.33     -7.00      0.00      0.75      0.86     60.00      2.69     75.00      0.38      0.65         0        10         0         0
        20    935.26     11.59      1.70     50.61     -2.29     -6.00      0.00      0.88      1.04     45.00      2.43      9.00      0.62      0.63         0        10         0         0
        30    935.21      9.35      2.96     64.27     -2.25     -6.00      0.00      0.72      0.84     29.00      1.73     10.00      0.63      0.34         0        30         0         0
        40    935.19     10.77      1.91     54.25     -2.16     -6.00      0.00      0.63      0.78     37.00      2.09     17.00      0.50      0.38         0        20         0         0
        50    935.29     10.53      2.42     57.17     -2.09     -6.00      0.00      1.01      1.08     71.00      2.12     71.00      0.33      0.96         0        20         0         0
        60    935.44     11.52      2.07     52.24     -2.03     -6.00      0.00      0.69      0.79     53.00      2.62     50.00      0.42      0.55         0        10         0         0
        70    935.37     10.35      2.78     59.38     -2.04     -6.00      0.00      0.89      1.06     61.00      3.40     88.00      0.44      0.78         0        20         0         0
        80    935.26     10.64      2.93     58.87     -2.18     -6.00      0.00      1.31      1.45     55.00      3.30     92.00      0.75      1.08         0        20         0         0
        90    935.02      9.41      3.46     66.36     -2.29     -6.00      0.00      1.15      1.22     41.00      3.04     63.00      0.87      0.75         0        30         0         0
       100    935.01      9.80      2.76     61.50     -2.21     -6.00      0.00      0.70      0.79     84.00      1.80     90.00      0.07      0.70         0        20         0         0
       110    934.96     10.08      2.95     61.15     -1.99     -6.00      0.00      0.99      1.10     76.00      2.01     27.00      0.24      0.96         0        20         0         0
       120    934.91      9.39      3.30     65.70     -2.13     -6.00      0.00      0.59      0.61     90.00      1.87     74.00      0.00      0.59         0        30         0         0
       130    934.97      9.11      3.37     67.24     -2.03     -6.00      0.00      0.72      0.76     77.00      1.94     55.00      0.16      0.70         0        30         0         0
       140    934.89     10.39      2.70     58.86     -2.22     -5.00      0.00      0.87      1.07     57.00      2.15     28.00      0.47      0.73         0        10         0         0
       150    935.02      9.47      3.20     64.86     -2.03     -6.00      0.00      0.84      0.84     90.00      2.00     93.00      0.00      0.84         0        20         0         0
       160    935.48      9.63      3.13     63.85     -1.77     -5.00      0.00      0.00      0.00      0.00      0.00     93.00      0.00      0.00         0        20         0         0
       170    935.59      8.66      3.69     70.95     -1.79     -5.00      0.00      0.19      0.29     91.00      1.00     90.00      0.00      0.19         0        30         0         0
       180    935.53      9.92      3.13     62.64     -1.70     -5.00      0.00      0.01      0.01    180.00      1.10    180.00     -0.01      0.00         0        10         0         0
       190    935.61      9.55      3.57     66.22     -1.40     -4.00      0.00      0.19      0.19    268.00      1.20    270.00     -0.01     -0.19         0        20         0         0
       200    935.47      8.73      4.13     72.83     -1.81     -4.00      0.00      0.17      0.28    100.00      1.02    101.00     -0.03      0.16         0        30         0         0
       210    935.22      9.12      3.32     66.95     -1.80     -5.00      0.00      0.57      0.58     88.00      1.90     90.00      0.02      0.57         0        20         0         0
       220    935.29      9.70      3.13     63.54     -1.58     -5.00      0.00      0.87      0.90     79.00      1.50     90.00      0.17      0.86         0        10         0         0
       230    935.35      9.34      3.33     66.04     -1.42     -5.00      0.00      0.41      0.41     91.00      1.60     90.00     -0.01      0.41         0        20         0         0
       240    935.31      8.86      3.96     71.31     -1.04     -5.00      0.00      0.14      0.15     87.00      1.20     90.00      0.01      0.14         0        20         0         0
       250    935.35      8.39      4.65     77.29     -0.26     -6.00      0.00      0.85      0.89     55.00      1.52     67.00      0.48      0.70         0        30         0         0
       260    935.46      8.75      4.45     74.39      0.57     -6.00      0.00      0.68      0.78     41.00      1.52     23.00      0.51      0.45         0        20         0         0
