44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 01 08  2018 01 08
0.0
time in minutes since 2018-01-08 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    954.41      3.00      1.88     92.31     -1.78     -3.00      0.00      1.45      1.55     40.00      3.58     27.00      1.11      0.93         0        40         0         6
        10    954.36      3.04      1.81     91.56     -1.76     -3.00      0.00      1.42      1.49     34.00      3.00     64.00      1.18      0.79         0        40         0         6
        20    954.30      3.05      1.88     91.98     -1.81     -3.00      0.00      1.56      1.74     40.00      3.44     26.00      1.20      0.99         0        40         0         6
        30    954.25      3.00      1.76     91.54     -1.79     -3.00      0.00      1.55      1.75     45.00      4.37     11.00      1.10      1.09         0        40         0         6
        40    954.21      3.03      1.95     92.63     -1.77     -3.00      0.00      1.22      1.35     40.00      3.31    357.00      0.94      0.79         0        40         0         6
        50    954.18      3.02      1.83     91.89     -1.77     -3.00      0.00      1.55      1.72     36.00      4.30      3.00      1.25      0.92         0        40         0         6
        60    954.19      3.00      1.78     91.68     -1.73     -3.00      0.00      1.38      1.58     36.00      3.65      9.00      1.12      0.81         0        40         0         6
        70    954.24      2.94      1.70     91.52     -1.78     -3.00      0.00      1.36      1.52     36.00      3.63      8.00      1.10      0.80         0        40         0         6
        80    954.31      2.93      1.67     91.41     -1.73     -3.00      0.00      1.36      1.53     46.00      3.59     77.00      0.94      0.99         0        40         0         6
        90    954.34      2.90      1.64     91.40     -1.66     -3.00      0.00      1.42      1.72     50.00      4.87     71.00      0.92      1.08         0        40         0         6
       100    954.38      2.97      1.81     92.11     -1.64     -3.00      0.00      1.35      1.55     44.00      3.57     79.00      0.97      0.93         0        40         0         6
       110    954.48      2.94      1.68     91.37     -1.62     -3.00      0.00      1.40      1.65     35.00      5.02    347.00      1.14      0.81         0        40         0         6
       120    954.58      2.95      1.73     91.70     -1.63     -3.00      0.00      1.25      1.51     48.00      3.88     12.00      0.84      0.93         0        40         0         6
