44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 02 14  2018 02 14
0.0
time in minutes since 2018-02-14 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    947.61     -4.54     -6.52     85.99     -2.39     -4.00      0.00      0.00      0.00      0.00      0.00     90.00      0.00      0.00         0        51         0         6
        10    947.62     -4.61     -6.39     87.31     -2.44     -5.00      0.00      0.00      0.00      0.00      0.00     90.00      0.00      0.00         0        42         0         6
        20    947.66     -4.19     -6.17     86.08     -2.46     -5.00      0.00      0.00      0.00      0.00      0.00     90.00      0.00      0.00         0        42         0         6
        30    947.71     -4.49     -6.30     87.10     -2.43     -5.00      0.00      0.00      0.00      0.00      0.00     90.00      0.00      0.00         0        52         0         6
        40    947.83     -4.78     -6.39     88.45     -2.48     -5.00      0.00      0.00      0.00      0.00      0.00     90.00      0.00      0.00         0        52         0         6
        50    947.88     -4.80     -6.57     87.33     -2.52     -5.00      0.00      0.00      0.00      0.00      0.10    180.00      0.00      0.00         0        52         0         6
        60    947.93     -4.55     -6.57     85.78     -2.54     -5.00      0.00      0.29      0.31     25.00      0.98     24.00      0.27      0.12         0        52         0         6
        70    947.95     -4.75     -6.56     87.10     -2.54     -5.00      0.00      0.11      0.11     88.00      1.30     86.00      0.00      0.11         0        52         0         6
        80    948.03     -5.14     -6.67     88.95     -2.53     -5.00      0.00      0.70      0.70     90.00      0.91     84.00      0.00      0.70         0        52         0         6
        90    948.11     -5.29     -6.70     89.73     -2.52     -5.00      0.00      0.68      0.68     90.00      0.90     90.00      0.00      0.68         0        52         0         6
       100    948.13     -5.05     -6.59     88.89     -2.47     -5.00      0.00      0.65      0.66     81.00      0.90     90.00      0.11      0.64         0        52         0         6
       110    948.10     -5.15     -6.63     89.32     -2.37     -5.00      0.00      0.16      0.16     90.00      0.70     90.00      0.00      0.16         0        52         0         6
       120    948.10     -4.86     -6.48     88.40     -2.22     -4.00      0.00      0.00      0.00      0.00      0.10      0.00      0.00      0.00         0        52         0         6
       130    948.13     -5.12     -6.48     90.13     -2.27     -4.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00         0        52         0         6
       140    948.20     -5.13     -6.36     91.02     -2.30     -4.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00         0        62         0         6
       150    948.23     -4.84     -6.35     89.18     -2.27     -4.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00         0        52         0         6
       160    948.23     -5.20     -6.35     91.55     -2.19     -4.00      0.00      0.40      0.45     72.00      0.76     23.00      0.12      0.38         0        52         0         6
       170    948.27     -4.84     -6.46     88.37     -2.04     -4.00      0.00      0.25      0.32     22.00      1.00      0.00      0.24      0.09         0        52         0         6
       180    948.25     -4.82     -6.60     87.32     -1.96     -4.00      0.00      0.30      0.37     35.00      0.72     56.00      0.25      0.17         0        52         0         6
       190    948.31     -4.84     -6.43     88.56     -1.91     -3.00      0.00      0.00      0.00      0.00      0.00     56.00      0.00      0.00         0        52         0         6
       200    948.39     -4.76     -6.46     87.85     -1.90     -3.00      0.00      0.09      0.10     72.00      1.03     61.00      0.03      0.09         0        52         0         6
       210    948.51     -4.84     -6.50     88.09     -1.91     -3.00      0.00      0.26      0.27     76.00      1.22     55.00      0.06      0.25         0        52         0         6
       220    948.70     -4.86     -6.50     88.25     -2.00     -3.00      0.00      0.96      1.00     50.00      1.79     63.00      0.62      0.73         0        52         0         6
       230    948.81     -4.97     -6.65     87.93     -2.16     -4.00      0.00      1.08      1.11     68.00      1.94     78.00      0.41      1.00         0        52         0         6
       240    948.94     -5.10     -6.64     88.94     -2.11     -4.00      0.00      0.81      0.84     60.00      1.39     69.00      0.40      0.70         0        52         0         6
       250    949.09     -5.24     -6.72     89.35     -2.05     -4.00      0.00      0.77      0.78     48.00      1.17     59.00      0.51      0.58         0        52         0         6
       260    949.16     -5.49     -6.76     90.69     -2.08     -4.00      0.00      0.23      0.23     86.00      0.81     97.00      0.02      0.23         0        62         0         6
