44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 03 31  2018 03 31
0.0
time in minutes since 2018-03-31 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    938.81      3.57      2.62     93.46     -1.27     -3.00      0.40      1.94      2.01    190.00      4.00    167.00     -1.91     -0.34         0        40         0         6
        10    938.86      3.38      2.30     92.61     -1.30     -3.00      0.30      2.20      2.29    187.00      4.93    174.00     -2.18     -0.28         0        40         0         6
        20    938.89      3.32      2.32     93.09     -1.30     -3.00      0.20      1.86      1.95    189.00      3.86    201.00     -1.84     -0.29         0        40         0         6
        30    938.93      3.24      2.26     93.25     -1.30     -3.00      0.20      2.16      2.27    184.00      5.24    193.00     -2.16     -0.14         0        40         0         6
        40    938.77      3.05      1.74     91.12     -1.32     -3.00      0.70      2.06      2.15    194.00      4.36    189.00     -2.00     -0.49         0        40         0         6
        50    938.67      2.61      1.51     92.43     -1.32     -3.00      1.00      2.14      2.27    179.00      4.21    176.00     -2.14      0.03         0        40         0         6
        60    938.67      2.31      1.32     93.13     -1.30     -3.00      1.00      2.21      2.30    180.00      4.20    183.00     -2.21      0.01         0        41         0         6
        70    938.57      2.21      1.35     94.03     -1.29     -3.00      0.90      1.49      1.54    175.00      3.71    166.00     -1.49      0.13         0        41         0         6
        80    938.58      2.20      1.26     93.51     -1.27     -3.00      0.60      1.35      1.38    183.00      3.22    187.00     -1.35     -0.06         0        42         0         6
        90    938.49      2.09      1.29     94.40     -1.28     -3.00      0.40      1.16      1.23    172.00      2.82    186.00     -1.15      0.16         0        51         0         6
       100    938.42      2.05      1.10     93.41     -1.27     -2.00      0.40      1.05      1.11    175.00      2.30    178.00     -1.05      0.09         0        40         0         6
