44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 03 24  2018 03 24
0.0
time in minutes since 2018-03-24 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    938.73     -0.20     -1.77     89.11     -2.47     -6.00      0.00      0.80      0.82     59.00      1.08     56.00      0.42      0.68         0        52         0         6
        10    938.58      0.51     -1.58     85.82     -2.49     -5.00      0.00      0.73      0.77     39.00      1.36     36.00      0.57      0.46         0        42         0         6
        20    938.40     -0.34     -1.64     90.90     -2.52     -5.00      0.00      0.76      0.79     62.00      1.34     63.00      0.35      0.68         0        52         0         6
        30    938.25     -0.29     -1.75     89.84     -2.53     -5.00      0.00      0.79      0.81     61.00      1.42     51.00      0.39      0.69         0        52         0         6
        40    938.11      0.18     -1.61     87.64     -2.53     -6.00      0.00      0.91      0.92     59.00      1.46     74.00      0.47      0.78         0        42         0         6
        50    937.98      0.28     -1.57     87.34     -2.52     -6.00      0.00      0.89      0.90     57.00      1.30     58.00      0.48      0.74         0        42         0         6
        60    937.85      0.09     -1.53     88.74     -2.52     -6.00      0.00      1.07      1.09     58.00      1.56     50.00      0.57      0.91         0        42         0         6
        70    937.70      0.00     -1.59     89.01     -2.52     -6.00      0.00      1.01      1.02     51.00      1.42     51.00      0.64      0.79         0        52         0         6
        80    937.49     -0.16     -1.63     89.77     -2.52     -6.00      0.00      1.12      1.14     54.00      1.56     40.00      0.66      0.91         0        52         0         6
        90    937.41     -0.21     -1.68     89.80     -2.52     -6.00      0.00      1.04      1.09     50.00      1.58     55.00      0.66      0.80         0        52         0         6
       100    937.27     -0.10     -1.70     88.95     -2.51     -6.00      0.00      1.21      1.23     51.00      1.70     40.00      0.77      0.94         0        52         0         6
       110    937.14     -0.25     -1.75     89.59     -2.51     -6.00      0.00      1.01      1.02     61.00      1.52     67.00      0.48      0.89         0        52         0         6
       120    936.99     -0.49     -1.84     90.55     -2.51     -6.00      0.00      0.91      0.92     67.00      1.39     69.00      0.35      0.84         0        52         0         6
       130    936.89     -0.88     -2.03     91.90     -2.51     -5.00      0.00      0.90      0.92     70.00      1.57     63.00      0.30      0.85         0        52         0         6
       140    936.75     -0.97     -2.04     92.38     -2.51     -6.00      0.00      0.95      0.98     73.00      1.81     84.00      0.28      0.91         0        52         0         6
       150    936.60     -1.12     -2.13     92.85     -2.51     -5.00      0.00      0.85      0.90     80.00      1.77    106.00      0.14      0.84         0        52         0         6
       160    936.50     -0.99     -2.08     92.31     -2.52     -5.00      0.00      0.78      0.81     73.00      1.30     90.00      0.22      0.75         0        52         0         6
