44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 04 08  2018 04 08
0.0
time in minutes since 2018-04-08 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    948.07     11.29      3.69     59.48     -2.48     -7.00      0.00      0.78      0.81     77.00      1.21     66.00      0.18      0.76         0        10         0         0
        10    947.99     10.58      3.94     63.47     -2.49     -7.00      0.00      1.04      1.05     71.00      1.55     75.00      0.35      0.98         0        20         0         0
        20    947.93     10.95      3.06     58.14     -2.50     -7.00      0.00      0.43      0.43     83.00      1.20     90.00      0.05      0.42         0        10         0         0
        30    947.91     10.44      3.66     62.79     -2.50     -7.00      0.00      0.46      0.49     70.00      1.08     68.00      0.15      0.43         0        20         0         0
        40    947.88      9.92      3.60     64.72     -2.50     -7.00      0.00      0.54      0.54     81.00      1.14     75.00      0.08      0.53         0        20         0         0
        50    947.85      9.69      3.80     66.67     -2.49     -6.00      0.00      0.94      0.94     79.00      1.22     81.00      0.18      0.92         0        20         0         0
        60    947.75     10.11      3.51     63.54     -2.49     -6.00      0.00      1.02      1.03     87.00      1.30     90.00      0.05      1.02         0        20         0         0
        70    947.68      9.24      3.18     65.80     -2.48     -6.00      0.00      0.16      0.16     93.00      1.10     90.00     -0.01      0.16         0        20         0         0
        80    947.70      8.56      3.99     72.90     -2.47     -6.00      0.00      0.14      0.14    270.00      1.10    270.00      0.00     -0.14         0        30         0         0
        90    947.68     10.08      2.65     59.87     -2.47     -6.00      0.00      0.41      0.43     84.00      1.00     90.00      0.04      0.41         0        10         0         0
       100    947.62     10.98      3.01     57.86     -2.45     -7.00      0.00      0.15      0.18     90.00      1.46    106.00      0.00      0.15         0         0         0         0
       110    947.55      8.86      4.14     72.24     -2.44     -7.00      0.00      1.04      1.05     78.00      1.61     97.00      0.21      1.02         0        20         0         0
       120    947.58      8.46      3.72     72.05     -2.43     -6.00      0.00      0.25      0.31     21.00      0.81     83.00      0.23      0.09         0        20         0         0
       130    947.55      8.91      3.57     69.13     -2.42     -6.00      0.00      0.09      0.11     27.00      0.73     74.00      0.08      0.04         0        20         0         0
