44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 04 06  2018 04 06
0.0
time in minutes since 2018-04-06 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    957.82      3.90      2.00     87.37     -2.48     -6.00      0.00      0.86      0.88     57.00      1.24     76.00      0.47      0.72         0        30         0         6
        10    957.77      3.92      2.04     87.48     -2.48     -6.00      0.00      0.84      0.87     41.00      1.65     14.00      0.63      0.55         0        30         0         6
        20    957.69      3.62      1.95     88.83     -2.48     -6.00      0.00      0.76      0.83     36.00      2.00    357.00      0.61      0.45         0        40         0         6
        30    957.63      3.55      1.67     87.47     -2.48     -6.00      0.00      0.93      0.94      9.00      1.96     15.00      0.92      0.14         0        40         0         6
        40    957.58      3.56      1.56     86.72     -2.48     -6.00      0.00      0.99      1.00      5.00      1.53     11.00      0.98      0.08         0        30         0         6
        50    957.47      3.14      1.52     89.12     -2.46     -6.00      0.00      0.97      0.99      8.00      1.87     16.00      0.96      0.14         0        40         0         6
        60    957.42      3.48      1.46     86.59     -2.43     -6.00      0.00      1.11      1.12      6.00      1.80      0.00      1.10      0.12         0        30         0         6
        70    957.39      3.35      1.48     87.50     -2.46     -6.00      0.00      0.95      0.97     10.00      1.41      8.00      0.93      0.17         0        30         0         6
        80    957.39      3.32      1.39     87.12     -2.46     -6.00      0.00      0.84      0.89     37.00      1.94     12.00      0.68      0.50         0        30         0         6
        90    957.24      3.01      1.53     89.97     -2.36     -6.00      0.00      0.84      0.87     35.00      2.84     10.00      0.69      0.48         0        40         0         6
       100    957.19      3.12      1.28     87.69     -2.24     -6.00      0.00      0.73      0.75     27.00      1.41      8.00      0.66      0.33         0        30         0         6
       110    957.18      2.25      0.94     90.99     -2.09     -6.00      0.00      0.77      0.80     54.00      1.33     77.00      0.45      0.62         0        40         0         6
       120    957.03      2.99      1.11     87.40     -2.08     -5.00      0.00      0.73      0.77     39.00      1.30     23.00      0.57      0.46         0        31         0         6
       130    956.99      2.76      1.22     89.60     -2.03     -6.00      0.00      0.78      0.82     37.00      1.80      3.00      0.63      0.47         0        41         0         6
       140    956.96      2.78      0.75     86.48     -2.04     -6.00      0.00      0.87      0.89     40.00      1.97     66.00      0.66      0.56         0        30         0         6
       150    956.92      2.63      0.73     87.30     -2.03     -6.00      0.00      1.01      1.03     53.00      1.70     62.00      0.61      0.81         0        31         0         6
       160    956.92      2.47      0.44     86.46     -2.02     -6.00      0.00      0.93      0.95     41.00      2.28     29.00      0.70      0.61         0        41         0         6
       170    956.98      2.48      0.20     84.90     -2.00     -6.00      0.00      0.79      0.82     55.00      1.71     69.00      0.45      0.65         0        31         0         6
       180    956.96      2.01      0.17     87.58     -1.99     -6.00      0.00      1.09      1.13     63.00      2.05     43.00      0.50      0.97         0        42         0         6
       190    956.92      2.54      0.21     84.54     -1.97     -6.00      0.00      1.22      1.25     54.00      1.97     24.00      0.72      0.98         0        41         0         6
       200    956.83      2.38      0.29     86.09     -1.96     -6.00      0.00      1.31      1.34     43.00      2.28     29.00      0.96      0.88         0        31         0         6
       210    956.81      2.38      0.53     87.54     -1.95     -6.00      0.00      1.43      1.45     52.00      2.39     33.00      0.87      1.13         0        41         0         6
       220    956.81      2.44      0.31     85.78     -1.92     -6.00      0.00      1.46      1.52     54.00      2.72     17.00      0.86      1.18         0        31         0         6
       230    956.71      2.28      0.31     86.78     -1.83     -6.00      0.00      1.37      1.40     51.00      2.46     63.00      0.86      1.07         0        32         0         6
       240    956.60      2.14      0.26     87.39     -1.56     -6.00      0.00      1.27      1.34     53.00      2.69     75.00      0.77      1.02         0        41         0         6
       250    956.53      1.82     -0.01     87.54     -1.05     -6.00      0.00      0.98      1.03     65.00      2.02     70.00      0.42      0.88         0        41         0         6
       260    956.45      1.50     -0.09     89.07     -0.26     -6.00      0.00      0.85      0.88     69.00      1.53     58.00      0.30      0.79         0        42         0         6
       270    956.45      1.44     -0.04     89.80      0.74     -5.00      0.00      0.89      0.94     66.00      1.79     27.00      0.36      0.82         0        42         0         6
       280    956.37      1.45     -0.24     88.43      1.65     -5.00      0.00      0.85      0.90     66.00      1.99     72.00      0.34      0.78         0        42         0         6
       290    956.20      1.45     -0.12     89.21      2.21     -4.00      0.00      1.09      1.13     65.00      1.80     56.00      0.46      0.99         0        42         0         6
       300    956.14      1.56     -0.20     88.00      2.55     -1.00      0.00      0.92      1.02     60.00      2.35     78.00      0.45      0.80         0        41         0         6
       310    956.17      1.26     -0.47     88.18      2.85      4.00      0.00      0.87      0.94     68.00      1.88     65.00      0.32      0.81         0        41         0         6
       320    956.21      1.00     -0.46     89.91      2.98     12.00      0.00      0.66      0.71     67.00      1.92     81.00      0.26      0.60         0        42         0         6
       330    956.29      1.46     -0.34     87.71      3.04     17.00      0.00      1.03      1.09     64.00      1.89     58.00      0.44      0.93         0        42         0         6
       340    956.37      1.51     -0.34     87.40      3.13     22.00      0.00      1.04      1.08     61.00      1.88     25.00      0.51      0.91         0        42         0         6
       350    956.44      1.62     -0.40     86.34      3.20     28.00      0.00      0.91      0.94     65.00      2.06     39.00      0.39      0.82         0        42         0         6
       360    956.46      1.79     -0.53     84.52      3.44     36.00      0.00      0.98      1.08     54.00      2.20     30.00      0.58      0.80         0        41         0         6
       370    956.47      2.00     -0.41     84.00      3.54     46.00      0.00      0.93      1.01     51.00      1.93     21.00      0.58      0.72         0        41         0         6
       380    956.52      2.23     -0.33     83.10      3.91     75.00      0.00      0.79      0.86     61.00      1.56     50.00      0.38      0.69         0        41         0         6
       390    956.53      2.59     -0.11     82.30      4.07    171.00      0.00      0.71      0.75     52.00      2.50     16.00      0.44      0.56         0        40         0         6
       400    956.45      3.30     -0.14     78.03      4.23    205.00      0.00      1.28      1.34     31.00      2.60     16.00      1.10      0.65         0        30         0         6
       410    956.43      3.42      0.43     80.77      4.27    256.00      0.00      1.52      1.60     21.00      3.26     11.00      1.41      0.55         0        30         0         6
       420    956.43      3.82      0.37     78.13      4.18    287.00      0.00      1.62      1.75     38.00      3.72     24.00      1.28      1.00         0        30         0         6
       430    956.41      4.23     -0.12     73.25      4.33    327.00      0.00      1.67      1.79     33.00      3.81     14.00      1.41      0.90         0        30         0         6
       440    956.41      4.94      1.45     78.06      4.38    361.00      0.00      1.20      1.28     45.00      3.12     40.00      0.84      0.85         0        30         0         6
       450    956.42      5.33      0.57     71.36      4.43    405.00      0.00      1.28      1.52     40.00      3.69    347.00      0.99      0.82         0        30         0         6
       460    956.34      5.78      0.65     69.52      4.47    439.00      0.00      1.40      1.66     36.00      4.16     24.00      1.14      0.82         0        30         0         6
       470    956.27      5.80      0.39     68.16      4.48    469.00      0.00      1.56      1.92     42.00      5.36     81.00      1.17      1.03         0        30         0         6
       480    956.22      5.79      0.18     67.16      4.44    458.00      0.00      1.59      1.80     29.00      4.14     20.00      1.39      0.78         0        40         0         6
       490    956.20      6.42      0.97     68.08      4.48    459.00      0.00      1.66      1.87     22.00      3.83     20.00      1.54      0.62         0        30         0         6
       500    956.20      6.54      0.68     66.16      4.50    503.00      0.00      1.78      2.00     12.00      4.46      9.00      1.74      0.39         0        30         0         6
