44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 02 08  2018 02 08
0.0
time in minutes since 2018-02-08 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    951.22     -0.70     -1.50     94.27     -1.33     -3.00      0.00      0.97      1.03    318.00      1.88    335.00      0.72     -0.66         0        52         0         6
        10    951.26     -0.67     -1.50     94.07     -1.35     -3.00      0.10      0.98      1.01    313.00      1.88    295.00      0.66     -0.72         0        52         0         6
        20    951.26     -0.63     -1.49     93.90     -1.38     -3.00      0.00      0.80      0.86    314.00      1.84    331.00      0.56     -0.58         0        52         0         6
        30    951.30     -0.71     -1.43     94.85     -1.37     -3.00      0.00      0.49      0.58    337.00      1.22    279.00      0.46     -0.19         0        52         0         6
        40    951.38     -0.82     -1.44     95.54     -1.35     -3.00      0.00      0.46      0.53      0.00      1.60    356.00      0.46      0.00         0        62         0         6
        50    951.43     -0.78     -1.47     95.10     -1.32     -3.00      0.10      0.21      0.27      7.00      1.30      4.00      0.21      0.03         0        62         0         6
        60    951.53     -0.94     -1.51     95.95     -1.32     -3.00      0.00      0.63      0.67    352.00      1.60      0.00      0.62     -0.08         0        62         0         6
        70    951.68     -0.85     -1.45     95.70     -1.29     -3.00      0.00      0.45      0.52    355.00      1.66    335.00      0.45     -0.04         0        52         0         6
        80    951.73     -0.94     -1.53     95.77     -1.25     -3.00      0.10      0.52      0.61     19.00      1.80    357.00      0.49      0.17         0        52         0         6
        90    951.79     -0.92     -1.61     95.05     -1.18     -3.00      0.00      0.53      0.69     23.00      1.96    345.00      0.49      0.21         0        52         0         6
       100    951.85     -1.04     -1.97     93.42     -1.11     -3.00      0.00      1.00      1.06    355.00      2.92    354.00      0.99     -0.08         0        52         0         6
       110    951.85     -1.17     -2.21     92.62     -1.08     -2.00      0.10      1.49      1.62    359.00      3.32    353.00      1.49     -0.02         0        52         0         6
       120    951.83     -1.19     -2.09     93.59     -1.07     -3.00      0.00      0.43      0.53    355.00      2.40      0.00      0.43     -0.04         0        52         0         6
       130    951.81     -1.14     -1.92     94.43     -1.07     -3.00      0.00      0.52      0.57    354.00      2.22    352.00      0.52     -0.05         0        52         0         6
       140    951.82     -1.10     -1.90     94.27     -1.08     -3.00      0.00      0.82      0.92    330.00      2.20    357.00      0.71     -0.41         0        52         0         6
       150    951.87     -1.12     -2.02     93.58     -1.07     -3.00      0.00      0.98      1.09    306.00      2.30    272.00      0.57     -0.79         0        52         0         6
       160    951.87     -1.18     -2.07     93.63     -1.07     -3.00      0.10      0.70      0.76    309.00      2.16    347.00      0.44     -0.55         0        52         0         6
       170    951.83     -1.25     -2.08     94.02     -1.09     -3.00      0.00      0.70      0.82    317.00      2.28    299.00      0.51     -0.47         0        62         0         6
       180    951.87     -1.23     -2.09     93.83     -1.09     -3.00      0.00      0.79      0.88    332.00      2.20      0.00      0.69     -0.37         0        52         0         6
       190    951.91     -1.29     -2.09     94.25     -1.05     -3.00      0.00      0.65      0.75    345.00      1.58    342.00      0.63     -0.17         0        52         0         6
       200    951.92     -1.32     -2.13     94.20     -1.06     -3.00      0.00      0.82      0.88    328.00      1.94    348.00      0.69     -0.43         0        52         0         6
       210    951.93     -1.50     -2.17     95.19     -1.05     -3.00      0.00      0.55      0.61      8.00      2.33     10.00      0.55      0.07         0        62         0         6
       220    951.93     -1.46     -2.25     94.31     -1.07     -3.00      0.00      0.61      0.72     42.00      2.15     28.00      0.46      0.41         0        52         0         6
       230    951.91     -1.60     -2.32     94.83     -1.08     -3.00      0.00      0.22      0.25      4.00      1.10      0.00      0.22      0.01         0        62         0         6
       240    951.92     -1.53     -2.35     94.14     -1.06     -3.00      0.00      0.37      0.42     37.00      1.49     20.00      0.29      0.22         0        62         0         6
       250    952.04     -1.44     -2.42     93.01     -1.03     -3.00      0.00      0.69      0.78     25.00      2.14     11.00      0.63      0.29         0        52         0         6
       260    952.08     -1.50     -2.40     93.53     -1.02     -3.00      0.00      0.18      0.23     53.00      1.53     79.00      0.11      0.14         0        52         0         6
       270    952.08     -1.42     -2.34     93.39     -1.00     -3.00      0.00      0.50      0.55      6.00      1.90      0.00      0.49      0.06         0        52         0         6
       280    952.17     -1.42     -2.33     93.52     -0.99     -3.00      0.00      0.21      0.26     41.00      1.17     20.00      0.16      0.14         0        52         0         6
       290    952.25     -1.46     -2.25     94.29     -0.99     -3.00      0.00      0.20      0.28     40.00      0.85     21.00      0.16      0.13         0        52         0         6
       300    952.31     -1.46     -2.21     94.60     -0.97     -3.00      0.00      0.22      0.23      1.00      1.10    355.00      0.22      0.00         0        52         0         6
       310    952.33     -1.48     -2.36     93.75     -0.91     -3.00      0.00      0.47      0.51      0.00      1.46    344.00      0.47      0.00         0        52         0         6
       320    952.32     -1.47     -2.29     94.08     -0.89     -3.00      0.00      0.06      0.13     64.00      0.80     90.00      0.03      0.05         0        52         0         6
       330    952.31     -1.57     -2.45     93.70     -0.88     -3.00      0.00      0.55      0.70      3.00      2.22     54.00      0.55      0.03         0        52         0         6
       340    952.32     -1.55     -2.50     93.18     -0.83     -3.00      0.00      0.38      0.46     37.00      1.79     63.00      0.30      0.23         0        52         0         6
       350    952.44     -1.60     -2.57     93.04     -0.80     -3.00      0.00      0.52      0.66     28.00      2.01     84.00      0.46      0.24         0        52         0         6
       360    952.51     -1.63     -2.44     94.21     -0.74     -3.00      0.00      0.41      0.50      9.00      1.87     74.00      0.41      0.06         0        52         0         6
       370    952.70     -1.45     -2.51     92.44     -0.50     -3.00      0.00      0.35      0.44     42.00      1.30     86.00      0.26      0.24         0        52         0         6
       380    952.81     -1.48     -2.60     92.10      0.07     -3.00      0.00      0.58      0.66     52.00      1.71     83.00      0.35      0.46         0        52         0         6
       390    952.87     -1.71     -2.55     93.98      0.84     -3.00      0.10      0.33      0.46     23.00      1.57    333.00      0.31      0.13         0        52         0         6
       400    952.89     -1.73     -2.53     94.22      1.43     -2.00      0.00      0.22      0.32     25.00      1.20    355.00      0.20      0.09         0        52         0         6
       410    953.00     -1.65     -2.56     93.43      1.76     -2.00      0.00      0.36      0.40      3.00      1.61    353.00      0.36      0.02         0        52         0         6
       420    953.12     -1.62     -2.55     93.32      2.26     -1.00      0.00      0.44      0.56     38.00      1.80      0.00      0.35      0.27         0        52         0         6
       430    953.24     -1.69     -2.63     93.31      2.35      0.00      0.00      0.48      0.61     32.00      1.58     55.00      0.41      0.25         0        52         0         6
       440    953.37     -1.52     -2.58     92.46      2.52      1.00      0.00      0.43      0.53     18.00      1.92    351.00      0.41      0.13         0        52         0         6
       450    953.50     -1.48     -2.44     93.13      2.65      2.00      0.00      0.64      0.74     35.00      1.81     84.00      0.52      0.37         0        52         0         6
       460    953.61     -1.61     -2.41     94.29      2.68      4.00      0.00      0.48      0.60     29.00      2.00      3.00      0.42      0.23         0        52         0         6
       470    953.68     -1.52     -2.38     93.85      2.91      6.00      0.00      0.92      1.04     33.00      2.20      0.00      0.77      0.50         0        52         0         6
