44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 02 05  2018 02 05
0.0
time in minutes since 2018-02-05 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    953.60     -0.42     -3.54     79.41     -1.30     -3.00      0.00      0.75      0.83     64.00      1.53     79.00      0.33      0.67         0        31         0         6
        10    953.58     -0.36     -3.57     78.89     -1.32     -3.00      0.00      0.96      1.06     67.00      2.56     51.00      0.38      0.88         0        31         0         6
        20    953.59     -0.41     -3.78     77.96     -1.34     -3.00      0.00      0.81      0.86     74.00      1.75     66.00      0.22      0.78         0        31         0         6
        30    953.70     -0.53     -3.54     80.02     -1.34     -3.00      0.00      0.84      0.99     55.00      2.01      6.00      0.48      0.69         0        31         0         6
        40    953.64     -0.58     -3.14     82.72     -1.38     -3.00      0.00      0.77      0.91     46.00      2.46     27.00      0.54      0.55         0        31         0         6
        50    953.72     -0.53     -3.71     79.00     -1.44     -3.00      0.00      0.80      0.96     49.00      2.53     18.00      0.53      0.60         0        41         0         6
        60    953.80     -0.65     -3.69     79.86     -1.45     -3.00      0.00      0.97      1.07     58.00      2.19     66.00      0.51      0.82         0        40         0         6
        70    953.85     -0.63     -3.80     79.12     -1.35     -3.00      0.00      0.77      0.83     59.00      2.46     63.00      0.39      0.66         0        31         0         6
        80    953.92     -0.84     -3.18     84.07     -1.39     -3.00      0.00      0.50      0.58     44.00      1.90      3.00      0.36      0.35         0        31         0         6
        90    953.96     -0.70     -3.53     81.09     -1.43     -3.00      0.00      0.40      0.49     40.00      1.61      7.00      0.30      0.26         0        41         0         6
       100    953.86     -0.89     -3.71     81.17     -1.65     -3.00      0.00      0.46      0.54     68.00      1.70     90.00      0.17      0.43         0        41         0         6
       110    953.77     -1.02     -3.60     82.61     -1.65     -4.00      0.00      0.84      0.89     82.00      1.80     71.00      0.12      0.83         0        41         0         6
       120    953.76     -0.98     -3.90     80.49     -1.54     -4.00      0.00      0.74      0.78     83.00      1.50     90.00      0.09      0.73         0        31         0         6
       130    953.69     -1.14     -3.56     83.53     -1.76     -4.00      0.00      1.02      1.07     72.00      2.12     19.00      0.31      0.97         0        32         0         6
       140    953.66     -1.45     -3.67     84.80     -1.64     -4.00      0.00      0.41      0.45     60.00      2.21     85.00      0.21      0.36         0        41         0         6
       150    953.80     -1.34     -3.83     83.11     -1.45     -4.00      0.00      0.17      0.24     22.00      1.30      0.00      0.16      0.06         0        41         0         6
       160    953.89     -1.18     -3.85     82.00     -1.43     -3.00      0.00      0.06      0.07    139.00      0.63    108.00     -0.04      0.04         0        41         0         6
       170    953.75     -1.06     -3.62     82.68     -1.44     -3.00      0.00      0.16      0.17     80.00      1.40     86.00      0.03      0.15         0        41         0         6
       180    953.69     -1.09     -3.98     80.71     -1.52     -4.00      0.00      0.19      0.21     89.00      1.10     90.00      0.00      0.19         0        31         0         6
       190    953.75     -1.54     -3.82     84.39     -1.54     -4.00      0.00      0.27      0.29     91.00      1.00     90.00     -0.01      0.27         0        41         0         6
       200    953.78     -1.29     -3.87     82.57     -1.53     -4.00      0.00      0.34      0.38     84.00      1.41     98.00      0.03      0.34         0        41         0         6
       210    953.88     -1.36     -3.80     83.40     -1.61     -4.00      0.00      0.60      0.64     89.00      1.53     79.00      0.01      0.60         0        42         0         6
       220    953.90     -1.48     -3.77     84.38     -1.64     -4.00      0.00      0.59      0.67     73.00      1.62     22.00      0.17      0.56         0        41         0         6
       230    953.94     -1.49     -3.85     83.90     -1.60     -4.00      0.00      0.36      0.46     60.00      1.77     74.00      0.18      0.31         0        41         0         6
       240    953.98     -1.63     -3.69     85.78     -1.56     -4.00      0.00      0.12      0.15     31.00      1.17     20.00      0.10      0.06         0        41         0         6
       250    953.99     -1.49     -3.97     83.12     -1.61     -4.00      0.00      0.26      0.29     69.00      1.40     94.00      0.09      0.24         0        41         0         6
       260    954.02     -1.56     -3.95     83.67     -1.55     -4.00      0.00      0.47      0.51     80.00      1.50     94.00      0.08      0.46         0        41         0         6
       270    954.10     -1.37     -4.02     82.08     -1.51     -4.00      0.00      0.76      0.82     78.00      2.10     93.00      0.16      0.74         0        41         0         6
       280    954.15     -1.58     -3.79     84.81     -1.48     -4.00      0.00      0.68      0.72     76.00      1.80     87.00      0.16      0.66         0        42         0         6
       290    954.18     -1.80     -3.77     86.38     -1.46     -4.00      0.00      0.59      0.69     72.00      2.00     87.00      0.19      0.56         0        42         0         6
       300    954.29     -1.52     -3.75     84.73     -1.54     -4.00      0.00      0.67      0.73     65.00      2.00      3.00      0.28      0.60         0        42         0         6
       310    954.25     -1.34     -4.00     82.11     -1.59     -4.00      0.00      0.85      0.93     55.00      1.84     68.00      0.49      0.69         0        41         0         6
       320    954.22     -1.69     -3.73     85.88     -1.69     -4.00      0.00      0.72      0.78     48.00      2.09     73.00      0.48      0.54         0        41         0         6
       330    954.15     -1.55     -4.03     83.12     -1.65     -5.00      0.00      0.79      0.89     77.00      2.41     95.00      0.18      0.77         0        41         0         6
       340    954.06     -1.71     -3.92     84.87     -1.48     -5.00      0.00      0.87      0.97     53.00      2.34     20.00      0.52      0.70         0        41         0         6
       350    954.14     -1.78     -3.98     84.90     -1.35     -4.00      0.00      0.82      1.00     54.00      2.56     69.00      0.49      0.66         0        42         0         6
       360    954.20     -1.45     -3.93     83.18     -0.94     -4.00      0.00      1.10      1.21     39.00      3.83     15.00      0.85      0.69         0        42         0         6
       370    954.26     -1.59     -3.73     85.33     -0.27     -4.00      0.00      1.32      1.42     26.00      3.32    353.00      1.19      0.58         0        42         0         6
