44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 04 03  2018 04 03
0.0
time in minutes since 2018-04-03 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    945.55     10.25      1.38     54.06     -1.28     -5.00      0.00      2.69      2.74    213.00      4.30    211.00     -2.26     -1.45         0        20         0         0
        10    945.71     10.04      1.68     56.01     -1.30     -5.00      0.00      2.36      2.38    205.00      3.72    204.00     -2.13     -1.00         0        20         0         0
        20    945.76     10.29      1.14     53.00     -1.34     -4.00      0.00      0.94      1.13    216.00      2.34    200.00     -0.75     -0.56         0        20         0         0
        30    945.74      9.66      1.46     56.56     -1.39     -4.00      0.00      0.73      0.75    174.00      1.80    199.00     -0.72      0.07         0        20         0         0
        40    945.72     10.85      0.71     49.48     -1.43     -5.00      0.00      1.58      1.81    205.00      3.63    188.00     -1.43     -0.67         0        10         0         0
        50    945.65     11.06      0.39     47.69     -1.38     -5.00      0.00      1.91      1.99    198.00      3.64    196.00     -1.81     -0.60         0        10         0         0
        60    945.54     11.19      0.54     47.82     -1.34     -5.00      0.00      3.00      3.09    212.00      4.91    213.00     -2.56     -1.57         0        20         0         0
        70    945.45     10.66      1.31     52.35     -1.34     -5.00      0.00      2.99      3.10    210.00      4.74    205.00     -2.59     -1.48         0        20         0         0
        80    945.37     10.68      0.97     51.03     -1.37     -5.00      0.00      1.45      1.74    173.00      3.81    177.00     -1.44      0.18         0        20         0         0
        90    945.35      9.59      1.99     59.04     -1.41     -5.00      0.00      1.31      1.41    136.00      3.23    158.00     -0.94      0.91         0        30         0         0
       100    945.11      9.75      1.89     57.97     -1.42     -4.00      0.00      0.89      0.98    152.00      2.55    154.00     -0.78      0.42         0        30         0         0
       110    945.18      9.24      2.11     60.97     -1.30     -5.00      0.00      0.67      0.73    113.00      2.00     90.00     -0.26      0.62         0        30         0         0
       120    945.21      8.80      2.30     63.66     -1.31     -4.00      0.00      0.16      0.26     71.00      1.00     90.00      0.05      0.15         0        30         0         0
       130    945.35      8.19      2.40     66.83     -1.45     -4.00      0.00      0.30      0.30    191.00      1.21    204.00     -0.29     -0.06         0        30         0         0
