44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 04 09  2018 04 09
0.0
time in minutes since 2018-04-09 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    943.96     12.44     -0.91     39.57     -2.05     -6.00      0.00      0.72      0.72     89.00      1.30     86.00      0.01      0.72         0        10         0         0
        10    943.97     12.12      0.02     43.27     -2.05     -6.00      0.00      0.24      0.25     92.00      0.90     90.00     -0.01      0.24         0        10         0         0
        20    943.88     11.50      0.61     47.08     -2.03     -6.00      0.00      0.45      0.45     90.00      0.90     90.00      0.00      0.45         0        20         0         0
        30    943.85     12.06     -0.12     42.98     -2.04     -6.00      0.00      0.61      0.61     91.00      1.10     90.00     -0.01      0.61         0        20         0         0
        40    943.78     12.33      0.07     42.85     -2.03     -6.00      0.00      0.76      0.76     90.00      1.00     90.00      0.00      0.76         0        10         0         0
        50    943.74     12.60     -0.08     41.59     -2.01     -6.00      0.00      0.81      0.85     58.00      1.53     79.00      0.43      0.69         0        10         0         0
        60    943.50     11.39      0.72     47.81     -2.02     -6.00      0.00      0.32      0.33     68.00      1.30     58.00      0.12      0.30         0        20         0         0
        70    943.33     11.21      1.15     49.87     -1.99     -6.00      0.00      0.00      0.00    180.00      0.10    180.00      0.00      0.00         0        20         0         0
        80    943.38     11.67      1.23     48.64     -1.97     -6.00      0.00      0.36      0.39     34.00      1.30     32.00      0.30      0.20         0        20         0         0
        90    943.39     11.50      1.22     49.17     -1.97     -6.00      0.00      0.75      0.80     63.00      1.26     72.00      0.34      0.67         0        20         0         0
       100    943.28     12.12     -0.34     42.13     -1.95     -6.00      0.00      0.62      0.62     90.00      1.00     90.00      0.00      0.62         0        10         0         0
       110    943.20     12.78     -0.72     39.26     -1.94     -6.00      0.00      0.16      0.16     94.00      1.12    100.00     -0.01      0.16         0        10         0         0
       120    943.18     11.40      1.07     49.00     -1.94     -6.00      0.00      0.75      0.75     90.00      1.10     90.00      0.00      0.75         0        20         0         0
       130    943.10     12.93     -0.43     39.68     -1.96     -6.00      0.00      0.19      0.20     56.00      0.89     63.00      0.10      0.16         0        10         0         0
