44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 01 06  2018 01 06
0.0
time in minutes since 2018-01-06 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    943.85      6.70      5.72     93.45     -1.24     -3.00      0.10      0.00      0.00    270.00      0.10    270.00      0.00      0.00         0        40         0         6
        10    943.86      7.12      5.49     89.37     -1.26     -4.00      0.10      0.28      0.29    256.00      1.30    270.00     -0.07     -0.27         0        40         0         6
        20    943.92      6.95      5.84     92.65     -1.23     -4.00      0.10      0.66      0.72    248.00      2.21    252.00     -0.25     -0.61         0        40         0         6
        30    943.97      6.76      5.54     91.93     -1.27     -4.00      0.00      0.59      0.64    197.00      1.81    186.00     -0.56     -0.17         0        40         0         6
        40    943.86      6.56      5.23     91.19     -1.39     -4.00      0.10      0.04      0.05    199.00      0.76    113.00     -0.03     -0.01         0        40         0         6
        50    943.84      6.57      5.42     92.35     -1.36     -4.00      0.00      0.36      0.38    184.00      1.00    186.00     -0.36     -0.03         0        40         0         6
        60    943.79      6.37      5.64     95.11     -1.37     -4.00      0.00      0.66      0.68    167.00      1.12    170.00     -0.64      0.15         0        40         0         6
        70    943.67      6.18      5.67     96.55     -1.35     -3.00      0.00      0.39      0.40    118.00      1.17    110.00     -0.18      0.34         0        50         0         6
        80    943.75      6.19      5.57     95.84     -1.30     -3.00      0.00      0.02      0.02    157.00      0.94    148.00     -0.02      0.01         0        50         0         6
        90    943.83      6.28      5.43     94.28     -1.30     -3.00      0.00      0.84      0.89    135.00      1.43    115.00     -0.59      0.59         0        40         0         6
       100    943.93      6.26      5.50     94.90     -1.30     -3.00      0.00      0.56      0.59    147.00      1.06    139.00     -0.47      0.31         0        40         0         6
       110    943.85      6.39      5.55     94.31     -1.35     -3.00      0.00      0.20      0.27    134.00      1.51    188.00     -0.14      0.14         0        40         0         6
       120    943.87      6.51      5.73     94.75     -1.33     -4.00      0.00      0.49      0.59    152.00      1.91    186.00     -0.44      0.23         0        40         0         6
       130    943.73      6.89      5.83     92.94     -1.32     -4.00      0.00      0.35      0.37    138.00      1.58    125.00     -0.26      0.23         0        40         0         6
       140    943.71      6.49      5.80     95.34     -1.34     -4.00      0.00      0.09      0.09    183.00      1.10    180.00     -0.09      0.00         0        40         0         6
       150    943.58      6.65      5.85     94.66     -1.33     -3.00      0.00      0.41      0.44    132.00      1.39    120.00     -0.27      0.31         0        40         0         6
       160    943.52      6.63      5.86     94.80     -1.41     -3.00      0.00      0.29      0.32    138.00      0.85    111.00     -0.22      0.20         0        40         0         6
       170    943.41      6.39      5.68     95.21     -1.15     -4.00      0.00      0.44      0.48    108.00      1.00     90.00     -0.13      0.42         0        40         0         6
       180    943.27      6.17      5.56     95.87     -1.39     -3.00      0.00      0.32      0.33     95.00      0.73    106.00     -0.03      0.32         0        40         0         6
       190    943.21      6.14      5.52     95.82     -1.39     -3.00      0.00      0.00      0.00      0.00      0.00    106.00      0.00      0.00         0        40         0         6
