44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 04 17  2018 04 17
0.0
time in minutes since 2018-04-17 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    958.06      9.55      8.15     90.94     -2.10     -5.00      0.00      0.01      0.01    180.00      0.30    180.00     -0.01      0.00         0        40         0         0
        10    958.11      9.62      8.47     92.53     -2.35     -5.00      0.00      0.07      0.07     65.00      0.67     63.00      0.03      0.06         0        40         0         0
        20    958.06      9.82      8.65     92.45     -2.43     -5.00      0.00      0.03      0.04     22.00      0.67     63.00      0.03      0.01         0        40         0         0
        30    958.01      9.76      8.56     92.26     -2.32     -5.00      0.00      0.00      0.00      0.00      0.00     63.00      0.00      0.00         0        40         0         0
        40    958.04      9.13      8.13     93.49     -2.22     -5.00      0.00      0.00      0.00      0.00      0.00     63.00      0.00      0.00         0        40         0         0
        50    958.09      9.27      8.25     93.37     -2.41     -5.00      0.00      0.00      0.00      0.00      0.00     63.00      0.00      0.00         0        40         0         0
        60    958.13      9.34      8.46     94.25     -2.43     -6.00      0.00      0.17      0.17     52.00      0.85     45.00      0.10      0.13         0        40         0         0
        70    958.17      9.27      8.34     93.95     -2.42     -6.00      0.00      0.27      0.30     50.00      0.82     76.00      0.17      0.21         0        40         0         0
        80    958.23      8.73      7.98     94.99     -2.40     -6.00      0.00      0.00      0.00    180.00      0.10    180.00      0.00      0.00         0        40         0         0
        90    958.20      8.96      8.09     94.26     -2.40     -6.00      0.00      0.00      0.00      0.00      0.00    180.00      0.00      0.00         0        40         0         0
       100    958.36      9.16      8.31     94.41     -2.11     -6.00      0.00      0.33      0.34     93.00      1.04    107.00     -0.02      0.33         0        40         0         0
