44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 03 17  2018 03 17
0.0
time in minutes since 2018-03-17 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    937.87      3.67      1.74     87.19     -2.16     -5.00      0.00      0.74      0.77     80.00      1.20     90.00      0.13      0.73         0        30         0         6
        10    937.88      3.78      1.70     86.25     -2.18     -5.00      0.00      0.67      0.67     90.00      1.30     86.00      0.00      0.67         0        30         0         6
        20    937.83      3.56      1.71     87.67     -2.18     -5.00      0.00      0.74      0.76     88.00      1.10     90.00      0.02      0.74         0        40         0         6
        30    937.64      3.55      1.65     87.37     -2.19     -5.00      0.00      0.97      0.99     77.00      1.32     81.00      0.22      0.94         0        30         0         6
        40    937.45      3.68      1.70     86.87     -2.20     -5.00      0.00      0.94      0.96     58.00      1.49     42.00      0.49      0.80         0        30         0         6
        50    937.32      3.26      1.67     89.32     -2.20     -5.00      0.00      0.99      1.04     58.00      1.73     80.00      0.52      0.84         0        40         0         6
        60    937.22      3.70      1.65     86.46     -2.23     -5.00      0.00      1.02      1.08     52.00      1.80      3.00      0.62      0.81         0        30         0         6
        70    937.09      3.63      1.71     87.24     -2.24     -5.00      0.00      0.79      0.82     65.00      1.26     72.00      0.33      0.72         0        30         0         6
        80    936.99      2.85      1.54     91.05     -2.22     -5.00      0.00      0.81      0.83     65.00      1.43     65.00      0.34      0.74         0        40         0         6
        90    936.89      3.35      1.48     87.53     -2.18     -5.00      0.00      0.83      0.85     80.00      1.50     86.00      0.15      0.82         0        30         0         6
       100    936.85      2.97      1.53     90.24     -2.10     -5.00      0.00      0.85      0.87     69.00      1.17     70.00      0.31      0.79         0        40         0         6
       110    936.67      3.24      1.60     89.00     -2.03     -4.00      0.00      0.61      0.69     58.00      2.10     87.00      0.32      0.52         0        40         0         6
       120    936.56      3.17      1.68     89.89     -1.98     -4.00      0.00      0.71      0.75     65.00      1.52     67.00      0.30      0.64         0        40         0         6
       130    936.45      3.19      1.65     89.65     -1.98     -4.00      0.00      0.84      0.86     68.00      1.53     79.00      0.31      0.78         0        40         0         6
       140    936.31      3.19      1.48     88.52     -1.94     -4.00      0.00      0.81      0.85     73.00      1.63     79.00      0.24      0.78         0        30         0         6
       150    936.26      3.13      1.62     89.80     -1.90     -4.00      0.00      0.75      0.81     69.00      1.52     67.00      0.27      0.70         0        40         0         6
       160    936.17      3.18      1.62     89.46     -1.88     -4.00      0.00      0.43      0.51     53.00      1.33     77.00      0.26      0.35         0        40         0         6
       170    936.01      2.94      1.44     89.88     -1.89     -4.00      0.00      0.69      0.72     75.00      1.60     86.00      0.18      0.66         0        40         0         6
       180    935.85      3.22      1.57     88.87     -1.89     -4.00      0.00      0.97      1.01     77.00      1.61     83.00      0.22      0.94         0        40         0         6
       190    935.69      3.19      1.51     88.68     -1.89     -4.00      0.00      0.72      0.77     61.00      1.57     27.00      0.35      0.63         0        40         0         6
       200    935.58      2.95      1.46     89.89     -1.88     -4.00      0.00      0.76      0.79     69.00      1.57     63.00      0.27      0.72         0        40         0         6
       210    935.51      2.98      1.52     90.06     -1.84     -4.00      0.00      0.68      0.72     63.00      1.34     27.00      0.31      0.61         0        40         0         6
       220    935.48      3.05      1.52     89.68     -1.80     -4.00      0.00      0.61      0.66     70.00      1.12     27.00      0.21      0.57         0        40         0         6
       230    935.52      3.20      1.44     88.19     -1.76     -4.00      0.00      0.73      0.76     69.00      1.40     86.00      0.27      0.68         0        30         0         6
       240    935.47      2.74      1.47     91.37     -1.75     -4.00      0.00      0.59      0.61     67.00      1.08     34.00      0.23      0.54         0        40         0         6
       250    935.42      2.84      1.57     91.31     -1.72     -4.00      0.00      0.66      0.71     61.00      1.90     87.00      0.32      0.57         0        40         0         6
       260    935.36      2.79      1.48     91.01     -1.75     -4.00      0.00      0.41      0.48     40.00      1.61     83.00      0.31      0.26         0        40         0         6
       270    935.26      2.78      1.52     91.37     -1.77     -4.00      0.00      0.70      0.72     60.00      1.22     35.00      0.35      0.60         0        40         0         6
       280    935.15      2.61      1.46     92.11     -1.70     -4.00      0.00      0.75      0.77     64.00      1.50      4.00      0.33      0.67         0        40         0         6
       290    935.04      2.69      1.28     90.37     -1.38     -4.00      0.00      0.65      0.70     58.00      1.52     23.00      0.34      0.55         0        40         0         6
       300    934.93      2.55      1.12     90.28     -0.65     -4.00      0.00      0.82      0.87     69.00      1.66     25.00      0.30      0.77         0        40         0         6
       310    934.77      2.45      1.07     90.58      0.27     -4.00      0.00      0.72      0.75     75.00      1.53     79.00      0.18      0.69         0        40         0         6
       320    934.69      2.30      1.02     91.21      1.23     -4.00      0.00      0.79      0.80     78.00      1.70     87.00      0.16      0.77         0        40         0         6
       330    934.64      2.35      1.04     91.00      1.88     -4.00      0.00      0.86      0.88     74.00      1.75     66.00      0.23      0.83         0        40         0         6
       340    934.67      2.33      0.90     90.23      2.36     -2.00      0.00      0.91      0.96     69.00      1.82     81.00      0.33      0.84         0        40         0         6
       350    934.64      2.64      0.87     88.10      2.79      2.00      0.00      0.90      0.96     72.00      2.15     22.00      0.28      0.85         0        31         0         6
       360    934.52      2.50      0.95     89.43      3.07     12.00      0.00      0.94      0.98     73.00      2.10     87.00      0.27      0.90         0        40         0         6
       370    934.39      2.60      0.85     88.25      3.20     21.00      0.00      0.95      1.02     66.00      2.14     79.00      0.39      0.86         0        40         0         6
       380    934.33      2.48      0.95     89.62      3.48     30.00      0.00      0.80      0.83     72.00      1.93     69.00      0.24      0.76         0        40         0         6
       390    934.22      2.54      0.90     88.89      3.61     43.00      0.00      0.64      0.68     66.00      1.48     28.00      0.26      0.58         0        31         0         6
       400    934.15      2.57      1.06     89.75      3.72     57.00      0.00      0.60      0.66     59.00      1.30     90.00      0.31      0.52         0        40         0         6
       410    933.95      2.75      1.13     89.09      3.81     73.00      0.00      0.45      0.52     42.00      1.81     84.00      0.33      0.30         0        40         0         6
       420    933.83      2.92      1.14     88.01      3.85     86.00      0.00      0.37      0.41     31.00      1.34     27.00      0.32      0.19         0        30         0         6
       430    933.79      3.08      1.32     88.18      3.85     90.00      0.00      0.44      0.47     47.00      0.95     72.00      0.30      0.32         0        40         0         6
       440    933.79      3.25      1.31     87.12      3.94     99.00      0.00      0.51      0.58     41.00      1.36     36.00      0.39      0.33         0        40         0         6
       450    933.65      3.53      1.52     86.63      4.02    118.00      0.00      0.36      0.40     38.00      1.40      0.00      0.29      0.22         0        30         0         6
       460    933.64      3.76      1.63     85.95      4.05    136.00      0.00      0.39      0.50     56.00      1.41     98.00      0.22      0.32         0        30         0         6
       470    933.58      4.14      1.67     83.94      4.10    147.00      0.00      0.45      0.59     26.00      1.70    357.00      0.40      0.20         0        30         0         6
       480    933.46      4.04      1.39     82.85      4.13    161.00      0.00      0.57      0.67     30.00      2.34     20.00      0.50      0.28         0        30         0         6
       490    933.38      4.14      1.15     80.84      4.17    178.00      0.00      0.70      0.82     33.00      2.02      9.00      0.58      0.38         0        30         0         6
       500    933.31      4.27      1.33     81.14      4.18    186.00      0.00      0.86      1.02     31.00      2.60    344.00      0.74      0.44         0        30         0         6
       510    933.23      4.45      1.18     79.27      4.20    192.00      0.00      1.11      1.30     31.00      2.61      4.00      0.95      0.57         0        30         0         6
       520    933.15      4.68      1.28     78.54      4.23    205.00      0.00      0.99      1.17     23.00      3.21    355.00      0.91      0.39         0        30         0         6
       530    933.08      5.10      1.55     77.78      4.24    213.00      0.00      1.09      1.37     39.00      3.91    356.00      0.84      0.69         0        20         0         6
       540    932.98      5.19      1.48     76.96      4.29    227.00      0.00      1.01      1.14     48.00      2.92     59.00      0.68      0.75         0        30         0         6
       550    932.92      5.19      1.39     76.39      4.18    225.00      0.00      1.10      1.37     42.00      4.50      0.00      0.82      0.74         0        30         0         6
       560    932.96      5.15      1.48     77.11      4.15    167.00      0.00      1.39      1.60     24.00      4.23      7.00      1.27      0.57         0        30         0         6
       570    932.85      5.29      1.48     76.40      4.10    173.00      0.00      1.40      1.59     23.00      3.86     17.00      1.29      0.55         0        30         0         6
       580    932.81      5.35      1.77     77.66      4.06    133.00      0.00      0.89      1.14     46.00      3.29     20.00      0.62      0.64         0        30         0         6
       590    932.77      5.47      1.86     77.53      3.97    116.00      0.00      0.69      0.84     63.00      3.47     78.00      0.31      0.62         0        30         0         6
       600    932.75      5.43      1.92     78.12      3.99    114.00      0.00      0.93      1.30     20.00      3.24      9.00      0.87      0.32         0        30         0         6
       610    932.69      5.50      1.98     78.03      4.03    116.00      0.00      0.87      1.13     35.00      2.95     62.00      0.71      0.50         0        30         0         6
       620    932.60      5.63      2.23     78.73      3.84     95.00      0.00      0.53      0.96     49.00      3.41      3.00      0.35      0.40         0        30         0         6
       630    932.57      5.58      2.13     78.42      3.76     73.00      0.00      0.93      1.10     38.00      3.04     17.00      0.73      0.57         0        30         0         6
       640    932.49      5.58      2.26     79.14      3.68     59.00      0.00      0.68      0.91     33.00      2.28     67.00      0.57      0.37         0        30         0         6
       650    932.43      5.52      2.27     79.56      3.66     52.00      0.00      0.82      1.00     15.00      2.93      8.00      0.79      0.21         0        30         0         6
