44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 04 21  2018 04 21
0.0
time in minutes since 2018-04-21 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    958.45     12.30      8.00     75.01     -2.51     -7.00      0.00      0.08      0.13     19.00      0.76    337.00      0.08      0.03         0        30         0         0
        10    958.44     14.90      7.18     59.89     -2.52     -7.00      0.00      0.16      0.22     73.00      1.17    110.00      0.05      0.15         0         0         0         0
        20    958.38     12.83      7.36     69.32     -2.52     -7.00      0.00      0.38      0.39     94.00      1.22     99.00     -0.03      0.38         0        20         0         0
        30    958.39     14.01      7.35     64.17     -2.53     -7.00      0.00      0.26      0.31     29.00      1.24     14.00      0.23      0.13         0        10         0         0
        40    958.32     13.71      7.40     65.65     -2.53     -7.00      0.00      0.07      0.11     92.00      1.30     90.00      0.00      0.07         0        10         0         0
        50    958.29     12.65      7.33     70.02     -2.53     -7.00      0.00      0.11      0.13    249.00      1.00    264.00     -0.04     -0.10         0        20         0         0
        60    958.27     13.12      7.39     68.16     -2.38     -7.00      0.00      0.02      0.03    251.00      0.50    270.00     -0.01     -0.02         0        10         0         0
        70    958.22     13.14      7.43     68.29     -2.38     -7.00      0.00      0.03      0.03    180.00      0.40    180.00     -0.03      0.00         0        10         0         0
        80    958.29     12.73      7.42     70.09     -2.37     -7.00      0.00      0.01      0.01    270.00      0.30    270.00      0.00     -0.01         0        20         0         0
        90    958.32     12.86      7.44     69.62     -2.53     -7.00      0.00      0.00      0.00    270.00      0.20    270.00      0.00      0.00         0        10         0         0
       100    958.22     12.91      7.08     67.67     -2.54     -6.00      0.00      0.02      0.03    135.00      0.30     90.00     -0.01      0.01         0        10         0         0
       110    958.19     11.99      7.46     73.75     -2.54     -7.00      0.00      0.02      0.02    180.00      0.30    180.00     -0.02      0.00         0        20         0         0
       120    958.14     12.47      7.33     70.85     -2.54     -6.00      0.00      0.03      0.03     90.00      0.60     90.00      0.00      0.03         0        10         0         0
       130    958.23     11.92      7.39     73.77     -2.54     -7.00      0.00      0.00      0.00      0.00      0.00     90.00      0.00      0.00         0        10         0         0
       140    958.20     11.10      7.69     79.47     -2.54     -6.00      0.00      0.05      0.05     90.00      0.80     90.00      0.00      0.05         0        20         0         0
       150    958.18     12.64      7.45     70.63     -2.53     -6.00      0.00      0.07      0.16    145.00      1.10    185.00     -0.06      0.04         0        10         0         0
       160    958.12     12.71      7.17     68.99     -2.52     -7.00      0.00      0.07      0.08    123.00      0.73    106.00     -0.04      0.06         0        10         0         0
       170    958.10     12.87      6.92     67.11     -2.51     -7.00      0.00      0.07      0.12    131.00      1.30    212.00     -0.05      0.05         0         0         0         0
       180    958.11     12.35      7.08     70.20     -2.47     -7.00      0.00      0.02      0.03    204.00      0.81    120.00     -0.02     -0.01         0        10         0         0
       190    958.14     12.35      7.13     70.45     -2.34     -7.00      0.00      0.00      0.00    270.00      0.10    270.00      0.00      0.00         0        10         0         0
       200    958.10     12.34      7.36     71.59     -2.08     -6.00      0.00      0.00      0.00      0.00      0.00    270.00      0.00      0.00         0        10         0         0
       210    958.12     10.99      7.04     76.61     -1.61     -6.00      0.00      0.19      0.19    270.00      1.50    270.00      0.00     -0.19         0        20         0         0
