44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 04 13  2018 04 13
0.0
time in minutes since 2018-04-13 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    939.10     10.46     -1.06     44.61     -1.66     -5.00      0.00      0.36      0.44     75.00      1.00     90.00      0.09      0.35         0        20         0         0
        10    939.12      9.77      0.01     50.56     -1.65     -5.00      0.00      0.00      0.00      0.00      0.00     90.00      0.00      0.00         0        20         0         0
        20    939.29     10.49     -1.07     44.49     -1.64     -5.00      0.00      0.15      0.15     90.00      0.90     90.00      0.00      0.15         0        10         0         0
        30    939.46      9.84      0.89     53.63     -1.64     -5.00      0.00      0.27      0.27     90.00      1.20     90.00      0.00      0.27         0        20         0         0
        40    939.54      9.78      0.97     54.15     -1.80     -5.00      0.00      1.95      1.97    211.00      3.05    212.00     -1.67     -1.00         0        20         0         0
        50    939.62     11.11     -1.06     42.73     -1.99     -5.00      0.00      2.20      2.22    187.00      3.35    190.00     -2.18     -0.27         0        10         0         0
        60    939.79     10.95     -1.30     42.41     -1.96     -6.00      0.00      2.40      2.42    195.00      3.57    198.00     -2.32     -0.62         0        20         0         0
        70    939.91     10.63     -0.91     44.63     -1.97     -6.00      0.00      2.19      2.28    203.00      5.00    168.00     -2.02     -0.86         0        20         0         0
        80    940.05     10.22     -0.83     46.12     -2.03     -6.00      0.00      1.59      1.66    209.00      3.62    219.00     -1.40     -0.76         0        20         0         0
        90    940.17      9.31     -0.04     51.91     -2.01     -6.00      0.00      0.29      0.31    265.00      0.90    180.00     -0.03     -0.29         0        30         0         0
       100    940.30      9.87     -0.96     46.73     -1.89     -5.00      0.00      0.27      0.27    270.00      1.20    270.00      0.00     -0.27         0        20         0         0
       110    940.34      9.18     -0.83     49.44     -1.83     -5.00      0.00      0.00      0.00     90.00      0.10     90.00      0.00      0.00         0        30         0         0
       120    940.23      9.08     -0.81     49.87     -1.70     -5.00      0.00      0.00      0.00      0.00      0.00     90.00      0.00      0.00         0        20         0         0
       130    940.29      9.37     -0.14     51.33     -1.68     -5.00      0.00      0.00      0.00      0.00      0.00     90.00      0.00      0.00         0        20         0         0
       140    940.44      8.48      0.70     58.02     -1.69     -4.00      0.00      0.00      0.00      0.00      0.00     90.00      0.00      0.00         0        30         0         0
       150    940.69      9.70     -0.50     48.93     -1.69     -5.00      0.00      0.80      0.82    198.00      2.47    201.00     -0.76     -0.25         0        20         0         0
       160    940.87      8.67      0.76     57.48     -1.61     -5.00      0.00      1.68      1.74    219.00      2.33    211.00     -1.31     -1.05         0        30         0         0
       170    941.11      9.18      0.62     55.01     -1.52     -5.00      0.00      2.18      2.23    219.00      4.61    204.00     -1.69     -1.37         0        20         0         0
       180    941.20      9.95      0.47     51.67     -1.52     -5.00      0.00      2.27      2.35    243.00      5.30    259.00     -1.02     -2.02         0        10         0         0
       190    941.23      9.91      0.73     52.81     -1.52     -5.00      0.00      3.13      3.19    247.00      5.85    262.00     -1.21     -2.88         0        20         0         0
       200    941.28      9.77      1.24     55.29     -1.55     -5.00      0.00      2.50      2.58    244.00      5.95    250.00     -1.10     -2.25         0        20         0         0
       210    941.41      9.49      1.48     57.31     -1.55     -5.00      0.00      1.23      1.28    254.00      4.30    252.00     -0.34     -1.19         0        20         0         0
       220    941.61      9.58      1.74     58.02     -1.49     -5.00      0.00      0.53      0.63    209.00      2.50    182.00     -0.46     -0.26         0        20         0         0
       230    941.86      9.50      2.12     59.92     -1.39     -5.00      0.00      2.00      2.05    188.00      3.50    182.00     -1.98     -0.26         0        20         0         0
       240    942.11      9.36      2.68     63.01     -1.09     -5.00      0.00      2.01      2.12    220.00      3.88    192.00     -1.55     -1.28         0        20         0         0
       250    942.25      9.88      2.40     59.60     -0.44     -5.00      0.00      2.79      3.02    243.00      5.58    213.00     -1.27     -2.48         0        20         0         0
       260    942.38      9.67      2.55     61.13      0.47     -5.00      0.00      2.14      2.17    256.00      4.02    251.00     -0.50     -2.08         0        20         0         0
       270    942.60      9.68      2.61     61.33      1.30     -5.00      0.00      2.22      2.28    254.00      4.40    269.00     -0.61     -2.14         0        20         0         0
       280    942.81      9.10      3.04     65.73      1.84     -4.00      0.00      1.91      1.97    250.00      3.95    261.00     -0.64     -1.79         0        30         0         0
       290    943.08      9.35      2.89     63.95      2.36     -2.00      0.00      1.91      1.99    234.00      3.45    253.00     -1.12     -1.55         0        20         0         0
       300    943.26      9.59      3.00     63.42      2.80      1.00      0.00      1.87      1.94    251.00      4.12    241.00     -0.60     -1.78         0        20         0         0
       310    943.30      9.52      3.23     64.80      2.97      8.00      0.00      2.14      2.23    254.00      4.60    269.00     -0.60     -2.06         0        20         0         0
       320    943.41      9.47      3.38     65.74      3.30     18.00      0.00      2.19      2.24    253.00      4.92    246.00     -0.65     -2.09         0        20         0         0
       330    943.61      9.25      3.52     67.36      3.45     28.00      0.00      2.26      2.33    246.00      4.92    265.00     -0.90     -2.07         0        20         0         0
