44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 02 02  2018 02 02
0.0
time in minutes since 2018-02-02 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    944.20      0.98     -1.70     82.14     -1.11     -3.00      0.00      1.84      1.86    266.00      3.20    250.00     -0.14     -1.83         0        41         0         6
        10    944.22      0.76     -1.44     85.07     -1.12     -3.00      0.00      1.46      1.51    256.00      2.73    246.00     -0.36     -1.42         0        41         0         6
        20    944.20      0.70     -1.17     87.15     -1.13     -3.00      0.00      1.67      1.68    264.00      2.93    262.00     -0.16     -1.66         0        42         0         6
        30    944.15      0.30     -0.52     94.17     -1.15     -4.00      0.10      2.00      2.04    257.00      3.81    275.00     -0.44     -1.95         0        43         0         6
        40    944.09      0.04     -0.40     96.74     -1.18     -4.00      0.00      1.89      1.93    250.00      3.67    253.00     -0.65     -1.78         0        53         0         6
        50    944.07     -0.28     -0.77     96.47     -1.05     -3.00      0.10      1.42      1.45    231.00      2.20    240.00     -0.90     -1.10         0        62         0         6
        60    944.06     -0.04     -0.98     93.38     -1.05     -4.00      0.00      1.49      1.51    205.00      2.00    217.00     -1.35     -0.63         0        52         0         6
        70    944.19      0.17     -0.69     93.90     -1.10     -4.00      0.00      1.13      1.15    186.00      1.90    180.00     -1.13     -0.12         0        52         0         6
        80    944.27      0.04     -0.70     94.66     -1.12     -3.00      0.00      0.61      0.68    177.00      1.81    174.00     -0.61      0.03         0        62         0         6
        90    944.38      0.22     -0.71     93.38     -1.10     -3.00      0.00      1.08      1.11    233.00      2.16    236.00     -0.65     -0.87         0        62         0         6
       100    944.42      0.33     -0.70     92.77     -1.10     -3.00      0.00      0.73      0.85    214.00      1.39    201.00     -0.60     -0.40         0        52         0         6
