44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 04 26  2018 04 26
0.0
time in minutes since 2018-04-26 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    954.61     12.82      7.31     69.14     -1.39     -5.00      0.00      1.81      1.87    278.00      3.72    276.00      0.25     -1.79         0        20         0         0
        10    954.59     12.83      7.28     68.95     -1.41     -5.00      0.00      2.32      2.38    287.00      4.30    301.00      0.66     -2.22         0        20         0         0
        20    954.54     12.78      7.25     69.01     -1.39     -5.00      0.00      2.04      2.15    283.00      4.16    280.00      0.46     -1.99         0        20         0         0
        30    954.56     12.89      7.12     67.93     -1.31     -5.00      0.00      1.49      1.55    281.00      3.11    274.00      0.28     -1.46         0        20         0         0
        40    954.55     12.95      7.09     67.53     -1.45     -5.00      0.00      1.70      1.76    286.00      3.55    280.00      0.47     -1.64         0        20         0         0
        50    954.42     12.79      7.03     67.95     -1.37     -5.00      0.00      0.93      0.97    275.00      2.73    278.00      0.08     -0.93         0        20         0         0
        60    954.44     12.42      7.38     71.35     -1.31     -4.00      0.00      0.89      0.92    262.00      1.92    242.00     -0.13     -0.88         0        30         0         0
        70    954.47     12.56      7.22     69.90     -1.31     -4.00      0.00      1.24      1.30    258.00      3.04    253.00     -0.26     -1.21         0        20         0         0
        80    954.49     12.56      7.21     69.84     -1.31     -4.00      0.00      1.12      1.17    255.00      2.86    245.00     -0.29     -1.09         0        20         0         0
        90    954.49     12.69      7.00     68.28     -1.32     -4.00      0.00      0.82      0.86    259.00      2.20    270.00     -0.15     -0.81         0        20         0         0
       100    954.48     12.53      7.23     70.08     -1.30     -4.00      0.00      0.99      1.06    256.00      2.36    216.00     -0.24     -0.96         0        20         0         0
       110    954.45     12.05      7.78     75.14     -1.29     -4.00      0.00      0.24      0.24    270.00      1.20    270.00      0.00     -0.24         0        30         0         0
       120    954.47     12.49      7.25     70.40     -1.24     -4.00      0.00      0.83      0.86    266.00      2.42    277.00     -0.06     -0.83         0        20         0         0
       130    954.49     12.60      7.05     68.90     -1.24     -4.00      0.00      1.26      1.36    242.00      3.24    214.00     -0.59     -1.12         0        20         0         0
       140    954.48     12.60      7.03     68.82     -1.32     -4.00      0.00      1.50      1.58    241.00      3.86    249.00     -0.74     -1.31         0        20         0         0
       150    954.53     13.02      6.56     64.82     -1.18     -4.00      0.00      1.77      1.84    242.00      3.26    252.00     -0.82     -1.57         0        20         0         0
       160    954.67     13.05      6.51     64.45     -1.16     -5.00      0.00      3.00      3.25    245.00      6.76    209.00     -1.29     -2.71         0        20         0         0
       170    954.98     12.18      6.44     67.92     -1.18     -5.00      0.00      3.57      3.79    274.00      8.81    258.00      0.26     -3.57         0        30         0         0
       180    955.16     11.78      6.26     68.84     -1.17     -4.00      0.00      3.64      3.76    280.00      8.40    271.00      0.65     -3.58         0        30         0         0
       190    955.24     11.58      5.94     68.28     -1.16     -4.00      0.00      3.43      3.60    281.00      7.45    285.00      0.68     -3.36         0        30         0         0
       200    955.26     11.36      5.65     67.92     -1.12     -4.00      0.00      3.22      3.36    284.00      7.02    290.00      0.78     -3.12         0        30         0         0
       210    955.28     11.36      5.58     67.58     -1.02     -4.00      0.00      3.15      3.24    272.00      5.61    259.00      0.11     -3.15         0        20         0         0
       220    955.34     11.16      5.71     69.10     -0.81     -4.00      0.00      2.28      2.39    278.00      6.32    265.00      0.32     -2.26         0        30         0         0
       230    955.43     11.04      5.36     67.93     -0.31     -4.00      0.00      2.75      2.88    270.00      5.78    247.00      0.01     -2.75         0        30         0         0
       240    955.56     10.88      5.18     67.84      0.47     -4.00      0.00      2.73      2.78    269.00      5.72    275.00     -0.03     -2.73         0        30         0         0
       250    955.69     10.81      5.36     69.04      1.07     -4.00      0.00      2.49      2.59    278.00      5.12    276.00      0.33     -2.47         0        20         0         0
       260    955.80     10.74      5.51     70.10      1.61     -3.00      0.00      2.07      2.17    294.00      4.63    276.00      0.84     -1.89         0        20         0         0
       270    955.83     10.50      5.51     71.20      2.05     -3.00      0.00      2.89      3.01    290.00      5.42    293.00      0.97     -2.72         0        30         0         0
       280    955.87     10.40      5.38     71.01      2.38      0.00      0.00      3.22      3.30    287.00      7.01    272.00      0.94     -3.08         0        20         0         0
       290    955.87     10.43      5.37     70.85      2.94      3.00      0.00      2.48      2.58    282.00      6.11    274.00      0.53     -2.42         0        20         0         0
       300    955.90     10.37      5.36     71.05      3.11     15.00      0.00      2.34      2.47    279.00      5.10    271.00      0.36     -2.32         0        20         0         0
       310    956.06     10.34      4.91     68.99      2.83     12.00      0.00      3.31      3.40    280.00      6.22    275.00      0.56     -3.26         0        20         0         0
       320    956.14     10.22      4.67     68.44      3.03     14.00      0.00      3.62      3.70    284.00      6.70    269.00      0.87     -3.51         0        20         0         0
       330    956.17     10.14      4.74     69.12      3.22     16.00      0.00      3.02      3.27    291.00      6.31    267.00      1.10     -2.82         0        20         0         0
       340    956.37     10.13      4.83     69.60      3.45     19.00      0.00      2.23      2.34    284.00      5.16    279.00      0.54     -2.17         0        20         0         0
       350    956.50     10.19      4.80     69.16      3.45     30.00      0.00      1.44      1.57    276.00      4.52    252.00      0.15     -1.44         0        20         0         0
       360    956.60     10.22      5.19     70.96      3.54     38.00      0.00      1.76      1.82    266.00      4.27    254.00     -0.13     -1.76         0        20         0         0
       370    956.69     10.29      5.10     70.21      3.56     39.00      0.00      1.52      1.59    267.00      3.42    285.00     -0.09     -1.52         0        20         0         0
       380    956.79     10.19      5.01     70.23      3.62     45.00      0.00      1.43      1.47    265.00      3.40    246.00     -0.13     -1.42         0        20         0         0
       390    956.83     10.30      4.84     68.88      3.93     72.00      0.00      1.67      1.72    260.00      3.31    267.00     -0.28     -1.65         0        20         0         0
       400    956.88     10.41      4.69     67.68      3.90     82.00      0.00      2.09      2.14    261.00      5.10    271.00     -0.32     -2.06         0        20         0         0
       410    956.95     10.48      4.52     66.56      3.90     99.00      0.00      1.60      1.63    263.00      2.90    268.00     -0.19     -1.59         0        30         0         0
       420    957.02     10.54      4.14     64.55      3.89     94.00      0.00      1.39      1.45    257.00      3.64    254.00     -0.32     -1.35         0        30         0         0
       430    957.04     10.68      3.93     62.97      4.03    102.00      0.00      2.16      2.22    259.00      4.66    247.00     -0.40     -2.12         0        20         0         0
       440    957.11     10.70      3.87     62.64      4.19    135.00      0.00      2.10      2.16    261.00      4.18    259.00     -0.34     -2.07         0        30         0         0
       450    957.02     10.75      3.74     61.87      4.17    169.00      0.00      2.25      2.31    261.00      4.28    259.00     -0.36     -2.22         0        30         0         0
       460    957.02     11.00      4.21     62.88      4.16    170.00      0.00      1.93      1.98    256.00      3.45    253.00     -0.47     -1.87         0        30         0         0
       470    957.02     10.89      3.94     62.18      4.15    184.00      0.00      1.89      1.97    277.00      3.59    283.00      0.23     -1.88         0        30         0         0
       480    957.10     11.00      4.13     62.52      4.27    204.00      0.00      2.56      2.61    256.00      5.19    254.00     -0.63     -2.48         0        30         0         0
       490    957.10     11.70      4.37     60.72      4.65    268.00      0.00      2.22      2.34    264.00      4.87    289.00     -0.24     -2.21         0        20         0         0
       500    957.06     11.42      4.29     61.47      4.11    351.00      0.00      2.16      2.26    269.00      4.39    246.00     -0.06     -2.16         0        30         0         0
       510    957.07     11.26      4.38     62.58      4.12    113.00      0.00      1.95      2.06    279.00      3.71    284.00      0.32     -1.92         0        30         0         0
       520    957.07     10.95      3.88     61.67      4.16    135.00      0.00      2.29      2.40    287.00      4.24    278.00      0.67     -2.19         0        30         0         0
       530    957.11     10.85      4.01     62.63      3.81    131.00      0.00      2.16      2.29    291.00      3.83    285.00      0.76     -2.02         0        30         0         0
       540    957.22     10.81      4.18     63.55      3.95     75.00      0.00      1.69      1.82    309.00      3.62    321.00      1.06     -1.32         0        30         0         0
       550    957.28     10.38      4.06     64.83      3.98     97.00      0.00      1.66      1.85    298.00      4.21    274.00      0.79     -1.46         0        30         0         0
       560    957.31     10.43      4.29     65.68      4.01    104.00      0.00      2.20      2.37    298.00      4.81    287.00      1.02     -1.94         0        30         0         0
       570    957.35     10.55      4.21     64.80      3.95    112.00      0.00      1.81      1.97    297.00      4.88    285.00      0.82     -1.61         0        30         0         0
       580    957.35     10.52      4.16     64.72      4.11     99.00      0.00      2.07      2.20    285.00      3.73    278.00      0.53     -2.01         0        30         0         0
       590    957.39     10.79      4.02     62.91      4.17    157.00      0.00      2.40      2.48    285.00      4.30    282.00      0.63     -2.32         0        30         0         0
       600    957.43     10.85      3.60     60.83      4.21    176.00      0.00      2.48      2.68    290.00      5.45    277.00      0.85     -2.33         0        30         0         0
       610    957.43     10.83      3.55     60.69      4.17    170.00      0.00      2.51      2.68    284.00      5.05    297.00      0.59     -2.44         0        30         0         0
       620    957.44     10.77      3.71     61.62      4.13    164.00      0.00      2.49      2.60    275.00      5.61    292.00      0.23     -2.48         0        30         0         0
       630    957.42     10.80      3.91     62.44      3.98    127.00      0.00      2.13      2.26    273.00      4.47    280.00      0.10     -2.12         0        30         0         0
       640    957.48     10.66      3.97     63.25      4.06    101.00      0.00      2.59      2.66    267.00      5.63    276.00     -0.15     -2.59         0        30         0         0
       650    957.45     10.71      4.18     63.97      4.17    130.00      0.00      2.24      2.28    262.00      5.12    264.00     -0.30     -2.22         0        30         0         0
       660    957.43     10.79      4.23     63.84      4.05    154.00      0.00      1.77      1.81    269.00      4.63    264.00     -0.03     -1.77         0        30         0         0
       670    957.40     10.73      4.10     63.53      3.96    113.00      0.00      1.74      1.80    263.00      4.34    255.00     -0.20     -1.72         0        30         0         0
