44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 01 14  2018 01 14
0.0
time in minutes since 2018-01-14 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    955.82     -1.28     -2.88     88.84     -2.32     -5.00      0.00      0.88      0.92     61.00      1.75     13.00      0.42      0.77         0        52         0         6
        10    955.74     -1.64     -3.05     90.09     -2.34     -5.00      0.00      0.71      0.73     73.00      1.46     74.00      0.21      0.68         0        52         0         6
        20    955.66     -1.69     -3.04     90.50     -2.34     -5.00      0.00      0.74      0.76     82.00      1.20     85.00      0.11      0.73         0        52         0         6
        30    955.62     -1.78     -3.00     91.34     -2.35     -5.00      0.00      0.83      0.83     87.00      1.10     95.00      0.05      0.82         0        52         0         6
        40    955.56     -1.85     -3.10     91.13     -2.35     -5.00      0.00      0.70      0.72     73.00      1.10     85.00      0.21      0.67         0        52         0         6
        50    955.58     -1.89     -3.10     91.43     -2.35     -5.00      0.00      0.75      0.77     80.00      1.26     72.00      0.13      0.74         0        52         0         6
        60    955.60     -2.89     -3.59     94.96     -2.35     -5.00      0.00      0.58      0.61     80.00      1.17     59.00      0.10      0.57         0        62         0         6
        70    955.62     -1.55     -3.11     89.12     -2.35     -5.00      0.00      0.95      0.97     75.00      1.63     79.00      0.24      0.92         0        42         0         6
        80    955.57     -1.94     -3.10     91.74     -2.36     -5.00      0.00      0.84      0.86     70.00      1.36     73.00      0.29      0.79         0        52         0         6
        90    955.55     -2.00     -3.09     92.26     -2.36     -5.00      0.00      0.74      0.76     57.00      1.46     74.00      0.40      0.62         0        52         0         6
       100    955.64     -2.06     -3.15     92.20     -2.36     -5.00      0.00      0.68      0.69     60.00      1.33     77.00      0.34      0.58         0        52         0         6
