44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 04 19  2018 04 19
0.0
time in minutes since 2018-04-19 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    964.40     13.04      5.09     58.46     -2.56     -7.00      0.00      1.23      1.28     58.00      2.55     79.00      0.65      1.05         0        10         0         0
        10    964.33     12.33      5.05     61.08     -2.56     -7.00      0.00      0.84      0.93     46.00      2.10     65.00      0.59      0.60         0        20         0         0
        20    964.30     12.69      4.94     59.16     -2.57     -7.00      0.00      0.79      0.86     57.00      1.81     84.00      0.43      0.66         0        10         0         0
        30    964.25     12.70      4.49     57.35     -2.57     -7.00      0.00      0.98      1.02     74.00      2.43     81.00      0.27      0.94         0        10         0         0
        40    964.25     12.07      4.89     61.45     -2.57     -7.00      0.00      0.86      0.90     70.00      1.49     70.00      0.30      0.80         0        20         0         0
        50    964.25     12.21      4.48     59.16     -2.57     -7.00      0.00      0.82      0.88     73.00      1.80     87.00      0.24      0.79         0        10         0         0
        60    964.23     11.90      4.59     60.83     -2.57     -7.00      0.00      0.66      0.68     81.00      1.40     90.00      0.10      0.65         0        20         0         0
        70    964.20     11.93      4.53     60.46     -2.57     -7.00      0.00      1.21      1.25     66.00      2.36     54.00      0.50      1.10         0        10         0         0
        80    964.26     11.80      4.46     60.69     -2.56     -7.00      0.00      1.05      1.10     71.00      2.41     95.00      0.35      0.99         0        20         0         0
        90    964.23     11.33      4.59     63.20     -2.56     -7.00      0.00      0.71      0.75     69.00      1.24     76.00      0.26      0.66         0        20         0         0
       100    964.18     11.60      4.49     61.63     -2.56     -7.00      0.00      0.58      0.67     58.00      1.24     76.00      0.30      0.49         0        10         0         0
       110    964.18     11.00      4.78     65.45     -2.57     -7.00      0.00      0.86      0.93     68.00      1.43     78.00      0.33      0.80         0        20         0         0
       120    964.19     11.11      4.78     64.96     -2.57     -7.00      0.00      1.02      1.06     64.00      1.77     47.00      0.45      0.92         0        20         0         0
       130    964.27     11.13      4.35     62.96     -2.57     -7.00      0.00      0.90      0.93     76.00      1.63     47.00      0.22      0.87         0        10         0         0
       140    964.28     10.71      4.38     64.88     -2.56     -7.00      0.00      0.92      0.93     91.00      1.20     90.00     -0.02      0.92         0        20         0         0
       150    964.24     10.26      4.76     68.67     -2.56     -7.00      0.00      0.02      0.03     26.00      0.80     90.00      0.01      0.01         0        20         0         0
       160    964.21     10.26      4.83     68.99     -2.55     -7.00      0.00      0.00      0.00    180.00      0.10    180.00      0.00      0.00         0        20         0         0
       170    964.19     10.14      4.69     68.88     -2.54     -7.00      0.00      0.01      0.01      0.00      0.20      0.00      0.01      0.00         0        20         0         0
       180    964.17     10.33      4.28     66.08     -2.51     -7.00      0.00      0.00      0.00      0.00      0.10      0.00      0.00      0.00         0        10         0         0
       190    964.17      9.53      4.82     72.40     -2.41     -6.00      0.00      0.02      0.02    178.00      0.71    172.00     -0.02      0.00         0        20         0         0
       200    964.23      9.87      4.80     70.67     -2.23     -6.00      0.00      0.00      0.00      0.00      0.00    172.00      0.00      0.00         0        10         0         0
       210    964.25      9.99      4.41     68.22     -1.86     -6.00      0.00      0.00      0.00      0.00      0.00    172.00      0.00      0.00         0        10         0         0
       220    964.21      9.81      4.40     68.99     -1.29     -6.00      0.00      0.00      0.00      0.00      0.00    172.00      0.00      0.00         0        10         0         0
       230    964.18      8.87      5.15     77.43     -0.57     -6.00      0.00      0.03      0.03      0.00      0.20      0.00      0.03      0.00         0        20         0         0
       240    964.20      9.93      4.33     68.11      0.25     -6.00      0.00      0.00      0.00      0.00      0.20      0.00      0.00      0.00         0        10         0         0
       250    964.31      9.98      4.31     67.81      1.17     -6.00      0.00      0.01      0.01    180.00      0.20    180.00     -0.01      0.00         0        10         0         0
       260    964.33      9.52      4.39     70.33      1.86     -6.00      0.00      0.00      0.00      0.00      0.00    180.00      0.00      0.00         0        10         0         0
       270    964.28      9.86      4.09     67.33      2.34     -4.00      0.00      0.00      0.00      0.00      0.00    180.00      0.00      0.00         0        10         0         0
       280    964.32      9.62      4.16     68.74      2.65      0.00      0.00      0.00      0.00      0.00      0.00    180.00      0.00      0.00         0        10         0         0
       290    964.38      9.69      4.34     69.31      2.84      4.00      0.00      0.00      0.00      0.00      0.00    180.00      0.00      0.00         0        10         0         0
       300    964.49      9.13      5.05     75.58      2.97     10.00      0.00      0.00      0.00      0.00      0.00    180.00      0.00      0.00         0        20         0         0
       310    964.56      9.37      4.52     71.70      3.06     16.00      0.00      0.00      0.00      0.00      0.00    180.00      0.00      0.00         0        20         0         0
       320    964.66      9.44      4.66     72.03      3.11     21.00      0.00      0.00      0.00      0.00      0.10      0.00      0.00      0.00         0        20         0         0
       330    964.79      9.63      4.85     72.07      3.16     26.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00         0        10         0         0
       340    964.86      9.50      5.14     74.20      3.20     30.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00         0        10         0         0
       350    964.88     10.19      4.89     69.62      3.69     58.00      0.00      0.01      0.01    179.00      0.30    180.00     -0.01      0.00         0        10         0         0
       360    964.95      9.21      5.57     77.97      4.11    127.00      0.00      0.00      0.00      0.00      0.00    180.00      0.00      0.00         0        30         0         0
       370    965.01     10.06      5.23     71.90      4.18    224.00      0.00      0.00      0.00      0.00      0.00    180.00      0.00      0.00         0        20         0         0
       380    965.05     11.14      6.56     73.33      4.23    254.00      0.00      0.00      0.00    180.00      0.10    180.00      0.00      0.00         0        20         0         0
       390    965.02     10.77      5.64     70.57      4.29    286.00      0.00      0.00      0.00      0.00      0.00    180.00      0.00      0.00         0        30         0         0
