44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 04 10  2018 04 10
0.0
time in minutes since 2018-04-10 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    942.14     10.74      8.30     84.85     -1.77     -5.00      0.00      0.87      0.88    267.00      1.90    267.00     -0.05     -0.87         0        30         0         0
        10    942.08     10.88      8.15     83.19     -1.84     -5.00      0.00      0.82      0.82    269.00      1.60    270.00     -0.01     -0.82         0        30         0         0
        20    941.97     10.91      7.92     81.77     -1.93     -5.00      0.00      0.54      0.54    270.00      1.50    270.00      0.00     -0.54         0        30         0         0
        30    941.86     10.65      7.78     82.44     -1.97     -5.00      0.00      0.15      0.15    270.00      0.60    270.00      0.00     -0.15         0        30         0         0
        40    941.80     10.61      7.74     82.40     -2.03     -5.00      0.00      0.08      0.08    270.00      0.70    270.00      0.00     -0.08         0        30         0         0
        50    941.77      9.87      7.64     86.03     -2.08     -5.00      0.00      0.00      0.00      0.00      0.00    270.00      0.00      0.00         0        30         0         0
        60    941.76     10.84      7.66     80.73     -2.11     -5.00      0.00      0.26      0.26    269.00      0.90    270.00      0.00     -0.26         0        20         0         0
        70    941.69     10.59      7.59     81.67     -2.13     -6.00      0.00      0.35      0.35    270.00      0.70    270.00      0.00     -0.35         0        30         0         0
        80    941.78     10.55      7.62     82.06     -2.18     -6.00      0.00      0.25      0.25    270.00      0.80    270.00      0.00     -0.25         0        20         0         0
        90    941.79     10.37      7.61     83.02     -2.21     -6.00      0.00      0.65      0.65    270.00      0.90    270.00      0.00     -0.65         0        30         0         0
       100    941.76     10.32      7.60     83.22     -2.28     -6.00      0.00      0.63      0.63    269.00      1.12    207.00     -0.01     -0.63         0        30         0         0
       110    941.67     10.11      7.58     84.27     -2.39     -6.00      0.00      0.20      0.23    245.00      1.39    201.00     -0.08     -0.18         0        30         0         0
       120    941.57      9.47      7.31     86.37     -2.40     -6.00      0.00      0.00      0.00      0.00      0.00    201.00      0.00      0.00         0        30         0         0
       130    941.56      9.52      7.02     84.35     -2.43     -6.00      0.00      0.00      0.00      0.00      0.00    201.00      0.00      0.00         0        30         0         0
       140    941.42      9.17      6.86     85.47     -2.45     -6.00      0.00      0.00      0.00      0.00      0.00    201.00      0.00      0.00         0        30         0         0
       150    941.15      8.42      6.69     88.86     -2.46     -6.00      0.00      0.00      0.00      0.00      0.00    201.00      0.00      0.00         0        40         0         0
       160    940.91      9.49      7.06     84.76     -2.42     -6.00      0.00      0.13      0.16     35.00      1.08     68.00      0.11      0.07         0        20         0         0
       170    940.55      9.29      7.19     86.75     -2.40     -6.00      0.00      0.96      1.00     72.00      1.70     87.00      0.29      0.92         0        30         0         0
       180    940.29      9.00      6.97     87.13     -2.41     -6.00      0.00      0.86      0.91     81.00      2.55     79.00      0.13      0.85         0        30         0         0
       190    939.75      8.85      7.06     88.50     -2.32     -6.00      0.00      1.15      1.21     61.00      3.05     58.00      0.55      1.00         0        30         0         0
       200    939.49      8.97      7.09     87.98     -2.23     -6.00      0.00      0.97      1.12     70.00      2.77     77.00      0.33      0.92         0        30         0         0
       210    939.57      8.72      6.98     88.82     -2.08     -6.00      0.00      0.83      0.97     62.00      1.92     81.00      0.39      0.73         0        40         0         0
       220    939.91      8.87      6.99     88.00     -1.94     -6.00      0.00      0.51      0.64    104.00      2.06    113.00     -0.12      0.49         0        30         0         0
       230    940.35      9.00      6.95     86.97     -1.78     -6.00      0.00      0.37      0.49    219.00      1.84    221.00     -0.29     -0.23         0        30         0         0
       240    940.57      8.68      6.89     88.56     -1.33     -6.00      0.00      0.85      0.92    250.00      2.06    219.00     -0.29     -0.80         0        30         0         0
       250    940.57      9.04      7.12     87.81     -0.57     -6.00      0.00      0.80      0.80    269.00      2.02    261.00     -0.01     -0.80         0        30         0         0
       260    940.81      8.86      7.00     88.11      0.29     -6.00      0.00      0.52      0.59    229.00      1.79    207.00     -0.34     -0.39         0        40         0         0
       270    940.60      7.59      6.29     91.48      1.20     -5.00      0.00      0.00      0.00      0.00      0.00    207.00      0.00      0.00         0        40         0         0
       280    940.68      8.09      6.73     91.10      1.84     -5.00      0.00      0.00      0.00    180.00      0.10    180.00      0.00      0.00         0        30         0         0
       290    940.71      7.73      6.63     92.73      2.23     -3.00      0.00      0.00      0.00      0.00      0.00    180.00      0.00      0.00         0        40         0         0
       300    940.61      8.31      6.77     90.02      2.65      0.00      0.00      0.00      0.00      0.00      0.00    180.00      0.00      0.00         0        30         0         0
       310    940.55      8.54      6.98     89.91      2.93      7.00      0.00      0.03      0.03      1.00      0.80      0.00      0.03      0.00         0        30         0         0
       320    940.62      8.82      7.13     89.17      2.95     13.00      0.00      0.00      0.02     13.00      0.76     23.00      0.00      0.00         0        30         0         0
       330    940.54      8.27      6.92     91.23      3.01     15.00      0.00      0.12      0.14     63.00      0.92     41.00      0.05      0.11         0        40         0         0
       340    940.44      7.80      6.65     92.46      3.16     21.00      0.00      0.73      0.75     86.00      1.60     94.00      0.06      0.73         0        40         0         0
       350    940.41      7.65      6.55     92.74      3.40     31.00      0.00      0.11      0.13     84.00      1.84     77.00      0.01      0.11         0        40         0         0
       360    940.44      8.48      7.06     90.78      3.43     38.00      0.00      0.00      0.01      0.00      0.30      0.00      0.00      0.00         0        30         0         0
       370    940.39      8.75      7.34     90.86      3.73     53.00      0.00      0.08      0.12     35.00      0.80      0.00      0.07      0.05         0        40         0         0
       380    940.32      8.74      7.35     91.01      3.93    109.00      0.00      0.07      0.08     56.00      0.89     27.00      0.04      0.06         0        40         0         0
       390    940.24      9.09      7.36     88.93      4.07    158.00      0.00      0.28      0.33     30.00      1.75     66.00      0.25      0.14         0        40         0         0
       400    940.17      9.62      7.70     87.84      4.23    223.00      0.00      0.72      0.77     21.00      2.91     27.00      0.67      0.25         0        30         0         0
       410    939.96     10.02      7.80     86.04      4.29    297.00      0.00      1.01      1.17     42.00      2.82     73.00      0.75      0.67         0        40         0         0
       420    939.98     10.55      7.69     82.48      4.33    325.00      0.00      1.08      1.18     31.00      2.72     17.00      0.93      0.55         0        30         0         0
       430    940.13     10.86      7.83     81.55      4.40    359.00      0.00      0.95      1.13     79.00      3.45     73.00      0.19      0.93         0        30         0         0
       440    940.10     11.42      7.96     79.26      4.45    401.00      0.00      1.04      1.30     42.00      3.49     63.00      0.78      0.69         0        30         0         0
       450    940.04     11.42      7.92     79.02      4.45    394.00      0.00      1.15      1.32     18.00      3.40      0.00      1.09      0.36         0        40         0         0
       460    940.15     11.63      7.87     77.70      4.48    317.00      0.00      1.14      1.43     34.00      4.00      3.00      0.95      0.63         0        30         0         0
       470    940.29     11.92      8.14     77.64      4.49    474.00      0.00      0.32      0.65     67.00      1.96    105.00      0.12      0.29         0        40         0         0
       480    940.45     12.53      7.76     72.67      4.51    514.00      0.00      0.92      1.01    353.00      3.30      2.00      0.91     -0.11         0        40         0         0
       490    940.42     13.38      8.28     71.20      4.57    539.00      0.00      1.12      1.44     35.00      3.21    355.00      0.92      0.64         0        30         0         0
       500    940.18     13.42      8.05     69.95      4.62    569.00      0.00      0.72      1.13     38.00      3.28    348.00      0.57      0.44         0        30         0         0
       510    940.06     14.03      8.15     67.68      4.63    573.00      0.00      1.06      1.26     29.00      3.45     10.00      0.93      0.52         0        30         0         0
       520    939.95     14.54      7.95     64.61      4.65    597.00      0.00      0.89      1.18     38.00      3.50     90.00      0.70      0.55         0        30         0         0
       530    939.94     14.15      7.14     62.67      4.66    632.00      0.00      1.55      1.78     21.00      5.00      1.00      1.45      0.55         0        40         0         0
       540    940.00     14.34      6.99     61.27      4.67    638.00      0.00      1.30      1.61     39.00      5.63     57.00      1.02      0.81         0        40         0         0
       550    940.10     14.44      6.99     60.87      4.70    645.00      0.00      0.99      1.28     38.00      3.31    357.00      0.78      0.61         0        40         0         0
       560    940.06     15.41      7.44     58.97      4.70    667.00      0.00      1.14      1.45      6.00      4.34    345.00      1.13      0.12         0        30         0         0
       570    940.11     15.20      7.34     59.36      4.67    669.00      0.00      0.91      1.10     14.00      4.30      3.00      0.89      0.22         0        40         0         0
       580    940.14     15.38      7.53     59.45      4.70    680.00      0.00      1.33      1.60     17.00      3.79    342.00      1.27      0.39         0        40         0         0
       590    940.20     15.70      7.50     58.10      4.74    705.00      0.00      1.08      1.60    331.00      3.41      3.00      0.95     -0.53         0        40         0         0
       600    940.12     15.25      6.94     57.58      4.76    719.00      0.00      2.21      2.39    351.00      4.83    336.00      2.19     -0.33         0        40         0         0
       610    940.00     15.45      6.82     56.38      4.77    769.00      0.00      1.21      1.86    343.00      3.71    297.00      1.16     -0.35         0        40         0         0
