44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 03 03  2018 03 03
0.0
time in minutes since 2018-03-03 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    935.64     -1.33     -1.98     95.36     -0.97     -4.00      0.00      1.04      1.14    161.00      2.91    153.00     -0.99      0.34         0        53         0         6
        10    935.66     -1.75     -2.14     97.13     -0.95     -4.00      0.00      0.91      1.21    159.00      3.42    165.00     -0.85      0.32         0        63         0         6
        20    935.67     -3.91     -4.42     96.19     -1.05     -2.00      0.00      0.62      0.69      5.00      1.81      6.00      0.62      0.06         0        82         0         6
        30    935.70     -3.78     -4.60     94.03     -1.03     -2.00      0.00      0.44      0.54     11.00      1.91      6.00      0.43      0.09         0        71         0         6
        40    935.77     -3.61     -4.64     92.56     -0.92     -2.00      0.00      0.86      0.91     36.00      1.94     12.00      0.70      0.50         0        61         0         6
        50    935.79     -3.70     -4.40     94.87     -1.03     -2.00      0.00      0.82      0.87     21.00      2.31      5.00      0.76      0.30         0        52         0         6
        60    935.77     -3.72     -4.20     96.45     -1.01     -2.00      0.00      0.61      0.64     45.00      1.21     24.00      0.43      0.43         0        52         0         6
        70    935.71     -3.92     -3.84    100.00     -0.99     -2.00      0.00      0.40      0.45     27.00      1.02     11.00      0.36      0.18         0        62         0         6
        80    935.51     -3.99     -3.96    100.00     -1.03     -2.00      0.00      0.63      0.69     47.00      1.36     73.00      0.43      0.46         0        72         0         6
        90    935.30     -4.05     -4.34     97.87     -1.02     -2.00      0.00      0.73      0.81     31.00      1.51      8.00      0.63      0.37         0        71         0         6
       100    935.16     -3.97     -4.37     97.03     -1.10     -2.00      0.00      0.80      0.86     49.00      1.75     59.00      0.52      0.60         0        61         0         6
       110    935.08     -3.98     -4.22     98.18     -1.06     -2.00      0.00      0.73      0.77     18.00      1.77     16.00      0.69      0.23         0        52         0         6
       120    934.93     -4.00     -4.02     99.88     -1.16     -2.00      0.00      0.84      0.89     25.00      1.84     68.00      0.76      0.35         0        63         0         6
