44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 04 11  2018 04 11
0.0
time in minutes since 2018-04-11 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    944.35      4.44      2.47     87.03     -2.59     -6.00      0.00      0.00      0.00      0.00      0.00     90.00      0.00      0.00         0        30         0         6
        10    944.31      4.44      2.20     85.36     -2.60     -6.00      0.00      0.00      0.00      0.00      0.00     90.00      0.00      0.00         0        30         0         6
        20    944.25      4.64      2.20     84.18     -2.60     -6.00      0.00      0.00      0.00      0.00      0.00     90.00      0.00      0.00         0        30         0         6
        30    944.18      4.45      2.28     85.76     -2.60     -6.00      0.00      0.28      0.29     32.00      0.86     36.00      0.24      0.15         0        30         0         6
        40    944.10      4.03      2.20     87.89     -2.60     -6.00      0.00      0.44      0.46     65.00      0.81     60.00      0.18      0.40         0        30         0         6
        50    944.02      4.28      2.10     85.73     -2.61     -6.00      0.00      0.13      0.13     62.00      1.22     55.00      0.06      0.11         0        30         0         6
        60    943.95      4.08      2.09     86.83     -2.61     -6.00      0.00      0.82      0.88     43.00      1.22     35.00      0.60      0.56         0        30         0         6
        70    943.84      3.45      1.92     89.65     -2.62     -6.00      0.00      0.60      0.67     41.00      1.08     56.00      0.46      0.39         0        40         0         6
        80    943.92      3.29      1.89     90.53     -2.62     -5.00      0.00      0.53      0.58     38.00      1.03     61.00      0.42      0.33         0        40         0         6
        90    943.94      3.37      1.85     89.78     -2.62     -5.00      0.00      0.04      0.04      0.00      0.40      0.00      0.04      0.00         0        30         0         6
       100    943.90      3.74      1.96     88.14     -2.62     -5.00      0.00      0.64      0.68     64.00      1.10     90.00      0.28      0.57         0        30         0         6
       110    943.93      3.34      2.01     91.01     -2.62     -6.00      0.00      0.79      0.80     64.00      1.04     73.00      0.35      0.71         0        40         0         6
       120    943.92      3.44      1.88     89.44     -2.61     -5.00      0.00      0.37      0.40     65.00      0.89     63.00      0.16      0.34         0        30         0         6
       130    943.98      3.54      1.80     88.39     -2.60     -5.00      0.00      0.00      0.00      0.00      0.10      0.00      0.00      0.00         0        30         0         6
       140    944.00      3.33      1.78     89.57     -2.59     -5.00      0.00      0.01      0.01    180.00      0.30    180.00     -0.01      0.00         0        40         0         6
       150    943.96      4.29      2.13     85.77     -2.58     -6.00      0.00      0.69      0.72     53.00      1.40     90.00      0.41      0.55         0        30         0         6
       160    944.01      3.80      2.14     88.89     -2.57     -6.00      0.00      0.81      0.82     30.00      1.12     27.00      0.70      0.40         0        30         0         6
       170    944.04      3.61      1.99     89.13     -2.56     -5.00      0.00      0.84      0.85     25.00      1.21     24.00      0.76      0.36         0        40         0         6
       180    944.08      3.60      1.91     88.70     -2.55     -6.00      0.00      0.88      0.90     42.00      1.34     63.00      0.65      0.59         0        30         0         6
       190    943.99      3.37      1.81     89.49     -2.51     -6.00      0.00      0.90      0.93     64.00      1.57     63.00      0.39      0.82         0        40         0         6
       200    944.04      3.31      1.77     89.64     -2.48     -6.00      0.00      0.96      0.99     67.00      1.80     87.00      0.38      0.88         0        40         0         6
       210    944.17      3.13      1.65     89.95     -2.41     -5.00      0.00      1.00      1.01     88.00      1.43     78.00      0.04      1.00         0        40         0         6
       220    944.10      3.15      1.66     89.89     -2.23     -6.00      0.00      1.03      1.05     63.00      1.34     63.00      0.47      0.92         0        40         0         6
