44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 02 03  2018 02 03
0.0
time in minutes since 2018-02-03 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    945.57      0.36     -2.13     83.24     -1.13     -3.00      0.00      1.05      1.07    280.00      2.63    279.00      0.19     -1.03         0        41         0         6
        10    945.48      0.35     -2.31     82.23     -1.22     -5.00      0.00      1.32      1.34    282.00      2.22    278.00      0.27     -1.29         0        41         0         6
        20    945.39      0.01     -2.34     84.11     -1.17     -5.00      0.00      0.50      0.54    278.00      1.99    288.00      0.07     -0.49         0        41         0         6
        30    945.39     -0.20     -2.33     85.51     -1.01     -5.00      0.00      0.30      0.32    265.00      1.46    254.00     -0.03     -0.30         0        41         0         6
        40    945.38     -0.14     -2.23     85.75     -1.16     -4.00      0.00      0.26      0.29    269.00      1.40    266.00      0.00     -0.26         0        41         0         6
        50    945.24     -0.27     -2.07     87.66     -1.21     -3.00      0.00      0.38      0.43    250.00      1.36    253.00     -0.13     -0.36         0        41         0         6
        60    945.23     -0.44     -2.01     89.12     -1.21     -3.00      0.00      0.38      0.46    239.00      1.14    255.00     -0.20     -0.33         0        51         0         6
        70    945.22     -0.13     -1.99     87.22     -1.27     -4.00      0.00      0.77      0.85    231.00      1.43    245.00     -0.49     -0.60         0        41         0         6
        80    945.22     -0.45     -1.93     89.71     -1.28     -4.00      0.00      0.48      0.54    215.00      1.25    241.00     -0.39     -0.28         0        52         0         6
        90    945.20     -0.11     -1.87     87.92     -1.22     -4.00      0.00      0.38      0.43    233.00      1.30    247.00     -0.23     -0.30         0        42         0         6
       100    945.13     -0.28     -1.81     89.40     -1.15     -3.00      0.00      0.28      0.32    160.00      1.12    153.00     -0.26      0.09         0        52         0         6
