44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 04 29  2018 04 29
0.0
time in minutes since 2018-04-29 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    947.73     12.79      8.65     75.89     -1.36     -6.00      0.00      0.79      0.88     76.00      2.00     87.00      0.19      0.77         0        20         0         0
        10    947.62     12.75      8.49     75.25     -1.37     -6.00      0.00      0.60      0.81     68.00      2.00     93.00      0.23      0.56         0        20         0         0
        20    947.56     11.71      8.58     81.06     -1.27     -6.00      0.00      0.50      0.56     61.00      1.62     22.00      0.24      0.44         0        30         0         0
        30    947.43     12.36      8.46     77.06     -1.28     -6.00      0.00      0.49      0.57     74.00      1.84     45.00      0.13      0.48         0        20         0         0
        40    947.40     12.13      8.52     78.54     -1.29     -6.00      0.00      0.50      0.54     77.00      1.65     76.00      0.11      0.48         0        20         0         0
        50    947.34     11.65      8.33     80.01     -1.41     -6.00      0.00      0.42      0.50     55.00      2.09     73.00      0.24      0.34         0        30         0         0
        60    947.36     11.48      8.44     81.57     -1.36     -6.00      0.00      0.20      0.27     32.00      1.40      4.00      0.17      0.11         0        20         0         0
        70    947.26     11.34      8.35     81.82     -1.38     -6.00      0.00      0.31      0.36     58.00      1.36     17.00      0.16      0.26         0        20         0         0
        80    947.15     11.26      8.27     81.82     -1.39     -6.00      0.00      0.34      0.43     39.00      1.75     24.00      0.26      0.21         0        30         0         0
        90    947.15     10.99      8.13     82.48     -1.44     -6.00      0.00      0.44      0.48     11.00      1.84     13.00      0.43      0.09         0        30         0         0
       100    947.16     11.01      8.08     82.11     -1.60     -6.00      0.00      0.22      0.30     46.00      1.33     13.00      0.15      0.16         0        30         0         0
       110    947.15     11.00      7.95     81.45     -1.66     -6.00      0.00      0.16      0.32     65.00      1.12    280.00      0.07      0.15         0        30         0         0
       120    947.10     11.15      7.69     79.20     -1.56     -6.00      0.00      0.40      0.46     10.00      1.68     17.00      0.39      0.07         0        20         0         0
       130    947.06     10.28      7.76     84.32     -1.76     -6.00      0.00      0.64      0.69      9.00      1.50    356.00      0.64      0.10         0        30         0         0
       140    946.92     11.00      7.71     80.09     -1.63     -6.00      0.00      0.60      0.65     11.00      1.88     25.00      0.59      0.12         0        20         0         0
       150    946.91     10.74      7.79     81.97     -1.80     -6.00      0.00      0.57      0.59      0.00      1.50    356.00      0.57      0.00         0        20         0         0
       160    946.85     10.83      7.63     80.60     -2.04     -6.00      0.00      0.69      0.85     28.00      2.32    353.00      0.61      0.32         0        20         0         0
       170    946.69     10.70      7.89     82.77     -1.99     -6.00      0.00      0.77      0.86     19.00      2.28     75.00      0.73      0.25         0        30         0         0
       180    946.62     10.25      7.77     84.57     -1.66     -6.00      0.00      0.43      0.46     64.00      1.04     73.00      0.19      0.39         0        30         0         0
       190    946.54     11.09      7.69     79.52     -1.51     -6.00      0.00      0.79      0.80      3.00      2.40      0.00      0.79      0.04         0        20         0         0
       200    946.46     10.77      7.92     82.55     -1.21     -6.00      0.00      0.56      0.63     32.00      1.80     19.00      0.48      0.30         0        30         0         0
       210    946.44     10.85      7.79     81.36     -0.64     -5.00      0.00      0.59      0.61      6.00      1.32      9.00      0.58      0.07         0        30         0         0
       220    946.39     10.70      7.85     82.53     -0.03     -5.00      0.00      0.60      0.62      0.00      1.60      0.00      0.60      0.01         0        30         0         0
       230    946.35     10.89      7.83     81.37      0.75     -5.00      0.00      0.72      0.74      8.00      1.75     13.00      0.71      0.10         0        30         0         0
       240    946.26     10.70      7.98     83.26      1.48     -5.00      0.00      0.68      0.69     11.00      1.80     19.00      0.66      0.13         0        30         0         0
       250    946.18     10.68      7.90     82.88      1.95     -4.00      0.00      1.08      1.13     21.00      2.50     16.00      1.00      0.39         0        30         0         0
       260    946.22     10.36      7.87     84.57      2.33     -3.00      0.00      0.70      0.76     28.00      1.80     34.00      0.61      0.33         0        30         0         0
       270    946.13     10.82      7.66     80.82      2.56      0.00      0.00      0.96      1.07     28.00      2.42     52.00      0.84      0.45         0        20         0         0
       280    946.22     10.77      7.84     82.05      2.80      4.00      0.00      1.14      1.22     16.00      3.00      2.00      1.10      0.31         0        20         0         0
       290    946.18     10.42      7.76     83.52      3.05     12.00      0.00      1.20      1.26     20.00      2.66     20.00      1.13      0.42         0        30         0         0
       300    946.19     10.64      7.57     81.31      3.17     21.00      0.00      1.08      1.16     38.00      2.64     25.00      0.86      0.66         0        30         0         0
       310    946.12     10.92      7.49     79.35      3.25     28.00      0.00      1.41      1.49     20.00      3.62      6.00      1.32      0.48         0        20         0         0
       320    946.18     10.87      7.61     80.25      3.47     36.00      0.00      1.15      1.29     24.00      4.00      1.00      1.05      0.47         0        20         0         0
       330    946.16     11.62      7.40     75.26      3.48     45.00      0.00      1.36      1.49     27.00      3.96     10.00      1.21      0.62         0        20         0         0
       340    946.12     11.62      7.44     75.51      3.67     62.00      0.00      1.42      1.59     26.00      3.55     10.00      1.27      0.62         0        20         0         0
       350    946.09     11.66      7.62     76.25      4.14    166.00      0.00      1.31      1.52     27.00      3.65    351.00      1.17      0.60         0        20         0         0
       360    946.01     12.36      7.85     73.94      4.20    233.00      0.00      1.31      1.48     32.00      3.13      7.00      1.11      0.71         0        20         0         0
       370    945.94     12.48      7.76     72.90      4.26    264.00      0.00      1.23      1.40     35.00      3.40      2.00      1.00      0.71         0        30         0         0
       380    945.89     12.88      7.65     70.50      4.31    296.00      0.00      1.25      1.45     25.00      4.00     13.00      1.13      0.53         0        30         0         0
